Gene	category	Annotation	COGID
V1034630	P	DNA protection during starvation protein	COG0783
V1852092	S	Membrane	11R75
V1358422	J	ribosomal subunit Interface protein	COG1544
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1000116	G	Pyruvate kinase	COG3848
V1912442	G	Phosphohexokinase	COG0205
V1339929	C	L-lactate dehydrogenase	COG0039
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1852039	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1073967	J	50s ribosomal protein L10	COG0244
V1000546	G	(ABC) transporter	COG2182
V1000836	J	50s ribosomal protein l31 type b	COG0254
V1836823	S	Domain of unknown function (DUF956)	COG4687
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1164548	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1000046	T	Universal stress protein	COG0589
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1580955	O	Acts as a chaperone (By similarity)	COG0443
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
