gene	geneProduct
V1608705	Surface layer protein
V1694047	hypothetical protein
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1338863	Pyruvate kinase
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1366240	Surface layer protein
V1150427	Fructose-bisphosphate aldolase
V1033079	6-phosphofructokinase
V1033549	Enolase
V1034259	Elongation factor Tu
V1032670	putative transcriptional regulatory protein
V1033464	Glutamine synthetase
V1033629	Heat shock protein 70
V1684120	Foldase protein PrsA precursor
V1047042	Surface layer protein
V1033091	50S ribosomal protein L13
V1204587	Minicell-associated protein DivIVA
V1872734	50S ribosomal protein L11
V1828860	MucBP domain protein
V1032210	anaerobic ribonucleotide reductase-activating protein
V1033097	Carbamoyl-phosphate synthase large chain
V1033096	DNA-directed RNA polymerase subunit alpha
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1885172	ATP synthase subunit alpha
V1032341	F-ATPase epsilon subunit
V1032333	30S ribosomal protein S4
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1033558	Phosphoglycerate kinase
V1887290	Translation initiation factor IF-3
V1162957	Surface layer protein
V1047208	Elongation factor G
V1002229	Transposase DDE domain protein
V1033821	hypothetical protein
V1143661	Ribonuclease Y
V1033501	30S ribosomal protein S20
V1149190	hypothetical protein
V1032309	Stress protein H5
V1033306	Trigger factor
V1047264	DNA protection during starvation protein
V1032750	Vegetative protein 209
V1552800	30S ribosomal protein S1
V1148979	hypothetical protein
V1033740	Central glycolytic genes regulator
V1032342	ATP synthase subunit beta
V1148992	MerR family regulatory protein
V1046993	F-type ATPase subunit b
V1032751	Elongation factor Ts
V1032792	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1884691	Surface layer protein
V1032513	50S ribosomal protein L10
V1828790	gram-positive signal peptide%2C YSIRK family
V1880007	Surface layer protein
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1338859	MucBP domain protein
V1163652	ATP-dependent zinc metalloprotease FtsH
V1046995	F-ATPase gamma subunit
V1034296	Pyruvate oxidase
V1828827	30S ribosomal protein S20
V1338876	NADH peroxidase
V1032715	Glutamate--tRNA ligase
V1887313	30S ribosomal protein S6
V1047291	hypothetical protein
