Gene	KEGG_pathwayID	Annotation
V1000534	map00680	Methane metabolism
V1464571	map04626	Plant-pathogen interaction
V1000639	map05010	Alzheimer's disease
V1000122	map04626	Plant-pathogen interaction
V1000642	map03018	RNA degradation
V1431607	map03010	Ribosome
V1000116	map04930	Type II diabetes mellitus
V1912442	map00680	Methane metabolism
V1852039	map03020	RNA polymerase
V1339929	map00640	Propanoate metabolism
V1000836	map03010	Ribosome
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1000596	map05152	Tuberculosis
V1000004	map03020	RNA polymerase
V1439186	map03010	Ribosome
V1000943	map03010	Ribosome
V1000080	map03010	Ribosome
V1000546	map02030	Bacterial chemotaxis
V1073967	map03010	Ribosome
V1553618	map03070	Bacterial secretion system
V1430275	map00195	Photosynthesis
V1164548	map03020	RNA polymerase
V1580955	map05152	Tuberculosis
V1000549	map00500	Starch and sucrose metabolism
V1481435	map02060	Phosphotransferase system (PTS)
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1000305	map03018	RNA degradation
V1306539	map03010	Ribosome
V1577228	map05152	Tuberculosis
V1573648	map03010	Ribosome
V1000545	map02010	ABC transporters
V1552772	map04930	Type II diabetes mellitus
V1552804	map05152	Tuberculosis
V1392006	map03010	Ribosome
V1000944	map03010	Ribosome
V1889488	map05010	Alzheimer's disease
V1000630	map03070	Bacterial secretion system
V1886416	map04930	Type II diabetes mellitus
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1000106	map00720	Carbon fixation pathways in prokaryotes
V1043485	map03010	Ribosome
V1392216	map05152	Tuberculosis
V1880077	map00970	Aminoacyl-tRNA biosynthesis
V1000001	map03010	Ribosome
V1000040	map00240	Pyrimidine metabolism
V1464170	map00195	Photosynthesis
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1000548	map00500	Starch and sucrose metabolism
V1093074	map02030	Bacterial chemotaxis
V1392051	map00720	Carbon fixation pathways in prokaryotes
V1576144	map03070	Bacterial secretion system
V1033869	map04626	Plant-pathogen interaction
V1000840	map00195	Photosynthesis
V1301126	map00520	Amino sugar and nucleotide sugar metabolism
V1033902	map05010	Alzheimer's disease
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1886517	map00640	Propanoate metabolism
V1144304	map03010	Ribosome
V1000018	map03010	Ribosome
V1000003	map03010	Ribosome
V1006020	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1886558	map00710	Carbon fixation in photosynthetic organisms
V1000882	map00720	Carbon fixation pathways in prokaryotes
V1000044	map00910	Nitrogen metabolism
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1000563	map00230	Purine metabolism
V1162881	map00521	Streptomycin biosynthesis
V1000171	map02010	ABC transporters
V1360328	map03010	Ribosome
V1000172	map02010	ABC transporters
V1000057	map00230	Purine metabolism
V1078022	map03010	Ribosome
V1000093	map05150	Staphylococcus aureus infection
V1164541	map00240	Pyrimidine metabolism
V1000643	map03018	RNA degradation
V1000533	map00240	Pyrimidine metabolism
V1382281	map03010	Ribosome
V1143984	map03018	RNA degradation
V1144358	map03010	Ribosome
V1000023	map00230	Purine metabolism
V1000021	map03010	Ribosome
V1000082	map04112	Cell cycle - Caulobacter
V1886965	map00520	Amino sugar and nucleotide sugar metabolism
V1036606	map00195	Photosynthesis
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1420559	map00250	Alanine, aspartate and glutamate metabolism
V1076330	map03440	Homologous recombination
V1000144	map03010	Ribosome
V1000151	map03010	Ribosome
V1059001	map02060	Phosphotransferase system (PTS)
V1000077	map03440	Homologous recombination
V1000076	map03010	Ribosome
V1006727	map03010	Ribosome
V1000307	map04724	Glutamatergic synapse
