Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1034630	; DPS	; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain			; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain		; (Full/Desc.) ferritin-like protein, Dps type	; Helicobacter neutrophil-activating protein A family signature	; Ferritin-like domain		; Dps protein family signature 1.				; Ferritin-like	
V1339799		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1143274		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1000534	; HP_PGM_like	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site	; Phosphoglycerate mutase-like	; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA].	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site				; Histidine phosphatase superfamily (branch 1)		; Phosphoglycerate mutase family phosphohistidine signature.			; Phosphoglycerate mutase family	; Phosphoglycerate mutase-like	;  phosphoglycerate mutase 1 family
V1000122	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Translation factors; P-loop containing nucleotide triphosphate hydrolases	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor Tu;  small GTP-binding protein domain
V1000639		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain	; NAD(P)-binding Rossmann-like Domain; Dihydrodipicolinate Reductase; domain 2		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain		; (Full) glyceraldehyde-3-phosphate dehydrogenase	; Glyceraldehyde-3-phosphate dehydrogenase signature	; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain					; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	; NAD(P)-binding Rossmann-fold domains; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	;  glyceraldehyde-3-phosphate dehydrogenase, type I
V1431607		; Ribosomal protein L21; Ribosomal protein L21, conserved site; Ribosomal protein L21-like		; 50S ribosomal protein L21 [rplU].	; Ribosomal protein L21; Ribosomal protein L21, conserved site; Ribosomal protein L21-like				; Ribosomal prokaryotic L21 protein		; Ribosomal protein L21 signature.				; L21p-like	;  ribosomal protein bL21
V1464571	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Cytochrome Bc1 Complex; Chain A; P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2; Insulinase (Peptidase family M16)		; Insulinase family, zinc-binding region signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; LuxS/MPP-like metallohydrolase; P-loop containing nucleoside triphosphate hydrolases; Translation proteins; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain	;  translation elongation factor Tu
V1886719		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1016072		; Replication gene A protein			; Replication gene A protein				; Bacteriophage replication gene A protein (GPA)	; A GPA METAL-BINDING DNA-BINDING ENDONUCLEASE ZINC-FINGER ZINC HYDROLASE NUCLEASE INITIATION						
