Gene	KEGG_module_number	Annotation
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032664	M00236	Putative polar amino acid transport system
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1032381	M00374	Dicarboxylate-hydroxybutyrate cycle
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1884555	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1891377	M00153	Cytochrome d ubiquinol oxidase
V1828770	M00374	Dicarboxylate-hydroxybutyrate cycle
V1032626	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1199409	M00223	Phosphonate transport system
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033276	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1047039	M00333	Type IV secretion system
V1033346	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1237103	M00271	PTS system, beta-glucoside-specific II component
V1032641	M00260	DNA polymerase III complex, bacteria
V1891109	M00376	3-Hydroxypropionate bi-cycle
V1032231	M00236	Putative polar amino acid transport system
V1199359	M00275	PTS system, cellobiose-specific II component
V1032804	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
V1684154	M00183	RNA polymerase, bacteria
V1033413	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1883309	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1684155	M00183	RNA polymerase, bacteria
V1033667	M00368	Ethylene biosynthesis, methionine => ethylene
V1047198	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1216924	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1884499	M00246	Nickel transport system
V1032493	M00247	Putative ABC transport system
V1552781	M00260	DNA polymerase III complex, bacteria
V1032606	M00258	Putative ABC transport system
V1883274	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1032601	M00268	PTS system, alpha-glucoside-specific II component
V1032415	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1684156	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1101399	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1032517	M00260	DNA polymerase III complex, bacteria
V1033414	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1032307	M00269	PTS system, sucrose-specific II component
V1032230	M00236	Putative polar amino acid transport system
V1033078	M00260	DNA polymerase III complex, bacteria
V1684165	M00236	Putative polar amino acid transport system
V1206514	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1032825	M00335	Sec (secretion) system
V1034282	M00269	PTS system, sucrose-specific II component
V1033054	M00221	Putative simple sugar transport system
V1149114	M00299	Spermidine/putrescine transport system
V1338860	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1891261	M00183	RNA polymerase, bacteria
V1047061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033562	M00246	Nickel transport system
V1101416	M00239	Peptides/nickel transport system
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1032563	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1032715	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1884576	M00164	ATP synthase
V1885172	M00164	ATP synthase
V1032410	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1033390	M00254	ABC-2 type transport system
V1032434	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1143187	M00223	Phosphonate transport system
V1047148	M00222	Phosphate transport system
V1032741	M00153	Cytochrome d ubiquinol oxidase
V1033033	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1032631	M00197	Putative fructooligosaccharide transport system
V1032362	M00207	Putative multiple sugar transport system
V1047286	M00260	DNA polymerase III complex, bacteria
V1033463	M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
V1033086	M00239	Peptides/nickel transport system
V1047060	M00239	Peptides/nickel transport system
V1206511	M00254	ABC-2 type transport system
V1032592	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1033499	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033466	M00239	Peptides/nickel transport system
V1032407	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1032351	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1047181	M00207	Putative multiple sugar transport system
V1032684	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1884518	M00221	Putative simple sugar transport system
V1032571	M00376	3-Hydroxypropionate bi-cycle
V1032814	M00179	Ribosome, archaea
