gene	geneProduct
V1239646	hypothetical protein
V1239708	hypothetical protein
V1037187	Lipid A export ATP-binding/permease protein MsbA
V1819311	hypothetical protein
V1394389	Cyclodextrin-binding protein precursor
V1036191	Alkyl hydroperoxide reductase subunit C
V1151522	hypothetical protein
V1312248	Trigger factor
V1038361	Elongation factor Tu
V1819293	hypothetical protein
V1337358	Thiol-activated cytolysin
V1037518	50S ribosomal protein L7/L12
V1143274	gram-positive signal peptide%2C YSIRK family
V1168094	50S ribosomal protein L6
V1037443	hypothetical protein
V1464847	hypothetical protein
V1267672	hypothetical protein
V1157772	Translation initiation factor IF-3
V1526141	Phenylalanine--tRNA ligase beta subunit
V1145315	DNA-directed RNA polymerase subunit alpha
V1168807	Translation initiation factor IF-1
V1195096	30S ribosomal protein S2
V1038310	putative distant relative of cell wall-associated hydrolases
V1884207	Maltose transport system permease protein MalF
V1440555	F-type ATPase subunit b
V1819315	hypothetical protein
V1430591	hypothetical protein
V1819269	50S ribosomal protein L2
V1266152	hypothetical protein
V1458477	30S ribosomal protein S16
V1464571	Elongation factor Tu-B
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1362787	30S ribosomal protein S15
V1395005	F-ATPase subunit 6
V1200931	50S ribosomal protein L16
V1436794	Maltose-binding periplasmic proteins/domains
V1085154	hypothetical protein
V1006096	hypothetical protein
V1501533	hypothetical protein
V1266177	Nickel-binding periplasmic protein precursor
V1547673	toxin secretion/phage lysis holin
V1705037	hypothetical protein
V1290408	Alkyl hydroperoxide reductase subunit C
V1000122	Elongation factor Tu
V1705007	preprotein translocase subunit SecY
V1291476	hypothetical protein
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1081232	Formate acetyltransferase 1
V1038252	F-ATPase gamma subunit
V1006110	50S ribosomal protein L24
V1036261	Inner membrane ABC transporter permease protein YcjP
V1145663	Elongation factor G
V1036256	Maltodextrin-binding protein
V1301930	50S ribosomal protein L7/L12
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1806795	Glyceraldehyde-3-phosphate dehydrogenase
V1806797	putative ABC transporter ATP-binding protein YheS
V1036784	Tromp-1
V1431607	50S ribosomal protein L21
V1006063	50S ribosomal protein L13
V1553792	RNA polymerase-binding transcription factor CarD
V1819306	C protein alpha-antigen precursor
V1037884	hypothetical protein
V1704984	Phosphomethylpyrimidine synthase
V1549573	co-chaperonin GroES
V1266170	Phosphoenolpyruvate carboxylase
V1197036	Pathogen-specific membrane antigen
V1158372	ATP synthase subunit beta
V1834903	chromosome segregation protein SMC
V1364027	maltose ABC transporter periplasmic protein
V1687755	30S ribosomal protein S10
V1037189	putative bacteriocin transport accessory protein
V1239597	Dark-response protein 21
V1237384	Polyphosphate glucokinase
V1001477	hypothetical protein
V1445176	Ribulose-phosphate 3-epimerase
V1723814	Fe(3+) ions import ATP-binding protein FbpC
V1239604	DNA-directed RNA polymerase subunit beta'
V1099394	Maltose transport system permease protein MalG
V1140341	Fructose-bisphosphate aldolase
V1237432	F-type ATPase subunit delta
V1409950	Taurine import ATP-binding protein TauB
V1383974	30S ribosomal protein S1
V1145034	hypothetical protein
V1237403	Transaldolase
V1239564	CTP synthase
V1151859	Polyribonucleotide nucleotidyltransferase
V1819273	O-acetyltransferase OatA
V1318362	50S ribosomal protein L15
V1006055	Thiol-activated cytolysin
V1036274	DivIVA domain protein
V1141371	hypothetical protein
V1036479	Serine/threonine-protein kinase PknB
V1172076	Trehalose import ATP-binding protein SugC
V1154084	Stress protein H5
V1138581	DNA gyrase subunit A
V1032287	hypothetical protein
V1383926	Saliva-binding protein
V1617969	30S ribosomal protein S16
V1141150	Enolase
V1617034	Putative endo-beta-N-acetylglucosaminidase precursor
V1705041	N-acetylmuramoyl-L-alanine amidase domain-containing protein precursor
V1162256	30S ribosomal protein S4
V1367590	Elongation factor Ts
V1362785	maltose ABC transporter periplasmic protein
V1394405	hypothetical protein
V1037426	Inner membrane protein YbhL
V1440550	Putative pyrimidine permease RutG
V1430318	putative outer membrane protein
V1145239	50S ribosomal protein L10
V1007951	Elongation factor Ts
V1006057	hypothetical protein
V1013253	Elongation factor Tu
V1037423	ATP synthase subunit alpha
V1068939	1%2C4-alpha-glucan branching enzyme GlgB
V1266138	Anaerobic ribonucleoside-triphosphate reductase
V1162245	Maltodextrin phosphorylase
V1018798	Tetracycline resistance protein TetM from transposon TnFO1
V1018179	50S ribosomal protein L3
V1806812	recombination factor protein RarA
V1239571	30S ribosomal protein S13
V1385672	C protein alpha-antigen precursor
V1031976	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1239647	Elongation factor G
V1430209	PII-type proteinase precursor
V1070888	Thiol-activated cytolysin
V1819326	Pullulanase precursor
V1139904	Alcohol dehydrogenase 1
V1723757	50S ribosomal protein L21
V1037188	putative bacteriocin transport accessory protein
V1020162	50S ribosomal protein L29
V1141223	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1505246	hypothetical protein
V1175548	Glycogen accumulation regulator GarA
V1002465	Elongation factor Tu
V1195651	Elongation factor Ts
V1036259	4-alpha-glucanotransferase
V1084588	ATP synthase subunit beta
V1098956	50S ribosomal protein L21
V1000487	Fructose-bisphosphate aldolase
