Gene	KEGG_module_number	Annotation
V1066646	M00197	Putative fructooligosaccharide transport system
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1200593	M00197	Putative fructooligosaccharide transport system
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1145548	M00178	Ribosome, bacteria
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1362787	M00179	Ribosome, archaea
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1036256	M00197	Putative fructooligosaccharide transport system
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1036351	M00248	Antibiotic transport system
V1066925	M00239	Peptides/nickel transport system
V1037518	M00178	Ribosome, bacteria
V1066648	M00183	RNA polymerase, bacteria
V1067955	M00179	Ribosome, archaea
V1067450	M00178	Ribosome, bacteria
V1065446	M00178	Ribosome, bacteria
V1341867	M00179	Ribosome, archaea
V1069093	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
V1067043	M00238	D-Methionine transport system
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1436794	M00197	Putative fructooligosaccharide transport system
V1201556	M00183	RNA polymerase, bacteria
V1884207	M00197	Putative fructooligosaccharide transport system
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1065581	M00178	Ribosome, bacteria
V1065580	M00183	RNA polymerase, bacteria
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1067099	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1394389	M00197	Putative fructooligosaccharide transport system
V1066649	M00178	Ribosome, bacteria
V1229971	M00179	Ribosome, archaea
V1235913	M00164	ATP synthase
V1553939	M00178	Ribosome, bacteria
V1066613	M00276	PTS system, mannose-specific II component
V1066642	M00179	Ribosome, archaea
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1368901	M00197	Putative fructooligosaccharide transport system
V1065923	M00164	ATP synthase
V1203298	M00197	Putative fructooligosaccharide transport system
V1067070	M00258	Putative ABC transport system
V1266177	M00239	Peptides/nickel transport system
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1067905	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1185257	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1067071	M00258	Putative ABC transport system
V1139691	M00335	Sec (secretion) system
V1295411	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1067111	M00258	Putative ABC transport system
V1013684	M00207	Putative multiple sugar transport system
V1066643	M00179	Ribosome, archaea
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1139685	M00178	Ribosome, bacteria
V1364027	M00197	Putative fructooligosaccharide transport system
V1366835	M00179	Ribosome, archaea
V1168094	M00179	Ribosome, archaea
V1068294	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1065515	M00335	Sec (secretion) system
V1553877	M00276	PTS system, mannose-specific II component
V1065349	M00178	Ribosome, bacteria
V1065576	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1067072	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066927	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1007084	M00178	Ribosome, bacteria
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1067466	M00335	Sec (secretion) system
V1067560	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1141150	M00346	Formaldehyde assimilation, serine pathway
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1606876	M00258	Putative ABC transport system
V1380123	M00164	ATP synthase
V1200373	M00197	Putative fructooligosaccharide transport system
V1036261	M00197	Putative fructooligosaccharide transport system
V1067444	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1421169	M00197	Putative fructooligosaccharide transport system
V1181710	M00121	Heme biosynthesis, glutamate => protoheme/siroheme
V1443214	M00178	Ribosome, bacteria
V1140341	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1201510	M00178	Ribosome, bacteria
