Gene	KEGG_module_number	Annotation
V1394389	M00197	Putative fructooligosaccharide transport system
V1036256	M00197	Putative fructooligosaccharide transport system
V1465337	M00197	Putative fructooligosaccharide transport system
V1368901	M00197	Putative fructooligosaccharide transport system
V1145548	M00178	Ribosome, bacteria
V1013684	M00207	Putative multiple sugar transport system
V1884207	M00197	Putative fructooligosaccharide transport system
V1366835	M00179	Ribosome, archaea
V1137315	M00197	Putative fructooligosaccharide transport system
V1037518	M00178	Ribosome, bacteria
V1038252	M00164	ATP synthase
V1168094	M00179	Ribosome, archaea
V1362787	M00179	Ribosome, archaea
V1037422	M00164	ATP synthase
V1391939	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1484064	M00197	Putative fructooligosaccharide transport system
V1041514	M00254	ABC-2 type transport system
V1036261	M00197	Putative fructooligosaccharide transport system
V1157569	M00164	ATP synthase
V1364027	M00197	Putative fructooligosaccharide transport system
V1806795	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1526141	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1313683	M00164	ATP synthase
V1200931	M00178	Ribosome, bacteria
V1037423	M00164	ATP synthase
V1006110	M00179	Ribosome, archaea
V1020434	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1038424	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1145239	M00179	Ribosome, archaea
V1162256	M00179	Ribosome, archaea
V1265052	M00346	Formaldehyde assimilation, serine pathway
V1145315	M00183	RNA polymerase, bacteria
V1035957	M00197	Putative fructooligosaccharide transport system
V1445419	M00002	Glycolysis, core module involving three-carbon compounds
V1019613	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1007247	M00207	Putative multiple sugar transport system
V1375699	M00207	Putative multiple sugar transport system
V1899904	M00276	PTS system, mannose-specific II component
V1038267	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1265517	M00206	Cellobiose transport system
V1239646	M00178	Ribosome, bacteria
V1036735	M00183	RNA polymerase, bacteria
V1445347	M00183	RNA polymerase, bacteria
V1301930	M00178	Ribosome, bacteria
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1036988	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1037884	M00179	Ribosome, archaea
V1501533	M00178	Ribosome, bacteria
V1445140	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1158372	M00164	ATP synthase
V1103115	M00197	Putative fructooligosaccharide transport system
V1036477	M00183	RNA polymerase, bacteria
V1040548	M00376	3-Hydroxypropionate bi-cycle
V1036111	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1036258	M00207	Putative multiple sugar transport system
V1036839	M00026	Histidine biosynthesis, PRPP => histidine
V1554521	M00207	Putative multiple sugar transport system
V1362785	M00197	Putative fructooligosaccharide transport system
V1049010	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1445176	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
V1806816	M00335	Sec (secretion) system
V1176644	M00178	Ribosome, bacteria
V1367869	M00206	Cellobiose transport system
V1301557	M00242	Zinc transport system
V1006265	M00178	Ribosome, bacteria
V1368264	M00197	Putative fructooligosaccharide transport system
V1409950	M00248	Antibiotic transport system
V1268456	M00233	Glutamate transport system
V1203913	M00276	PTS system, mannose-specific II component
V1391839	M00207	Putative multiple sugar transport system
V1265568	M00164	ATP synthase
V1687741	M00197	Putative fructooligosaccharide transport system
V1334911	M00179	Ribosome, archaea
V1137504	M00346	Formaldehyde assimilation, serine pathway
V1350767	M00242	Zinc transport system
V1036826	M00374	Dicarboxylate-hydroxybutyrate cycle
V1074483	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1370810	M00179	Ribosome, archaea
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1368877	M00197	Putative fructooligosaccharide transport system
V1137087	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1035843	M00178	Ribosome, bacteria
V1049012	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1038271	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1354174	M00179	Ribosome, archaea
V1266177	M00239	Peptides/nickel transport system
V1036206	M00276	PTS system, mannose-specific II component
V1049011	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
V1465093	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1084588	M00164	ATP synthase
V1070068	M00335	Sec (secretion) system
V1337287	M00179	Ribosome, archaea
V1527021	M00002	Glycolysis, core module involving three-carbon compounds
V1830787	M00190	Iron(III) transport system
V1035952	M00197	Putative fructooligosaccharide transport system
V1364166	M00179	Ribosome, archaea
V1237403	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
