Gene	KEGG_pathwayID	Annotation
V1013092	map00650	Butanoate metabolism
V1016999	map04626	Plant-pathogen interaction
V1013090	map00710	Carbon fixation in photosynthetic organisms
V1017370	map00750	Vitamin B6 metabolism
V1019516	map00710	Carbon fixation in photosynthetic organisms
V1067673	map04626	Plant-pathogen interaction
V1011843	map04626	Plant-pathogen interaction
V1023795	map03010	Ribosome
V1017369	map00680	Methane metabolism
V1357096	map02030	Bacterial chemotaxis
V1053544	map05152	Tuberculosis
V1013671	map00910	Nitrogen metabolism
V1007076	map02030	Bacterial chemotaxis
V1008929	map05010	Alzheimer's disease
V1051831	map00710	Carbon fixation in photosynthetic organisms
V1007060	map05010	Alzheimer's disease
V1015255	map05010	Alzheimer's disease
V1012333	map03018	RNA degradation
V1017002	map03010	Ribosome
V1018831	map03010	Ribosome
V1464571	map04626	Plant-pathogen interaction
V1014775	map03010	Ribosome
V1015637	map00260	Glycine, serine and threonine metabolism
V1074835	map05010	Alzheimer's disease
V1013667	map00710	Carbon fixation in photosynthetic organisms
V1055790	map05152	Tuberculosis
V1526309	map05010	Alzheimer's disease
V1067810	map00910	Nitrogen metabolism
V1067311	map00710	Carbon fixation in photosynthetic organisms
V1022782	map00860	Porphyrin and chlorophyll metabolism
V1000546	map02030	Bacterial chemotaxis
V1021099	map00590	Arachidonic acid metabolism
V1381731	map04626	Plant-pathogen interaction
V1000122	map04626	Plant-pathogen interaction
V1007084	map03010	Ribosome
V1049442	map00480	Glutathione metabolism
V1042531	map03010	Ribosome
V1884213	map00720	Carbon fixation pathways in prokaryotes
V1020523	map04146	Peroxisome
V1015384	map00720	Carbon fixation pathways in prokaryotes
V1014776	map03010	Ribosome
V1042097	map04626	Plant-pathogen interaction
V1198780	map00330	Arginine and proline metabolism
V1198798	map03010	Ribosome
V1020454	map03010	Ribosome
V1015295	map03018	RNA degradation
V1000642	map03018	RNA degradation
V1000549	map00500	Starch and sucrose metabolism
V1016411	map03010	Ribosome
V1011783	map00650	Butanoate metabolism
V1619477	map05016	Huntington's disease
V1513559	map00650	Butanoate metabolism
V1014134	map03020	RNA polymerase
V1018781	map03010	Ribosome
V1020008	map02040	Flagellar assembly
V1000171	map02010	ABC transporters
V1192582	map00230	Purine metabolism
V1052940	map03010	Ribosome
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1000639	map05010	Alzheimer's disease
V1013332	map03018	RNA degradation
V1014780	map03010	Ribosome
V1023255	map03010	Ribosome
V1368199	map04626	Plant-pathogen interaction
V1018782	map03070	Bacterial secretion system
V1014881	map00720	Carbon fixation pathways in prokaryotes
V1068208	map03010	Ribosome
V1014133	map03020	RNA polymerase
V1380856	map00910	Nitrogen metabolism
V1049960	map03010	Ribosome
V1067671	map03020	RNA polymerase
V1049610	map00195	Photosynthesis
V1014358	map04930	Type II diabetes mellitus
V1018256	map00195	Photosynthesis
V1049971	map04724	Glutamatergic synapse
