gene	geneProduct
V1694047	hypothetical protein
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1338863	Pyruvate kinase
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1033079	6-phosphofructokinase
V1033549	Enolase
V1034259	Elongation factor Tu
V1366240	Surface layer protein
V1150427	Fructose-bisphosphate aldolase
V1047042	Surface layer protein
V1162957	Surface layer protein
V1032670	putative transcriptional regulatory protein
V1033558	Phosphoglycerate kinase
V1806611	D-lactate dehydrogenase
V1033096	DNA-directed RNA polymerase subunit alpha
V1872734	50S ribosomal protein L11
V1034630	DNA protection during starvation protein
V1887313	30S ribosomal protein S6
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033097	Carbamoyl-phosphate synthase large chain
V1032341	F-ATPase epsilon subunit
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033120	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
V1033821	hypothetical protein
V1684120	Foldase protein PrsA precursor
V1885172	ATP synthase subunit alpha
V1887290	Translation initiation factor IF-3
V1032210	anaerobic ribonucleotide reductase-activating protein
V1033629	Heat shock protein 70
V1032513	50S ribosomal protein L10
V1032333	30S ribosomal protein S4
V1033682	putative L-ascorbate-6-phosphate lactonase UlaG
V1033091	50S ribosomal protein L13
V1047240	Ascorbate-specific PTS system EIIC component
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1047208	Elongation factor G
V1032750	Vegetative protein 209
V1032751	Elongation factor Ts
V1033306	Trigger factor
V1046993	F-type ATPase subunit b
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032342	ATP synthase subunit beta
V1883114	SigL modulation protein
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1002229	Transposase DDE domain protein
V1032715	Glutamate--tRNA ligase
V1884418	Bacterial Ig-like domain (group 3)
V1033428	EIIAB-Man
V1552800	30S ribosomal protein S1
V1204587	Minicell-associated protein DivIVA
V1032631	Cyclodextrin-binding protein precursor
V1033501	30S ribosomal protein S20
V1047061	Threonine--tRNA ligase
V1046995	F-ATPase gamma subunit
V1032825	preprotein translocase subunit SecY
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1032826	Adenylate kinase
V1047264	DNA protection during starvation protein
V1806595	Ascorbate-specific phosphotransferase enzyme IIA component
V1608729	Surface layer protein
V1032814	hypothetical protein
V1032815	50S ribosomal protein L16
V1143661	Ribonuclease Y
V1148979	hypothetical protein
V1203355	Chaperone protein DnaJ
V1046991	F-ATPase subunit 6
V1047291	hypothetical protein
V1047177	Maltose phosphorylase
V1148992	MerR family regulatory protein
V1580955	Heat shock protein 70
V1033559	Triosephosphate isomerase
V1163652	ATP-dependent zinc metalloprotease FtsH
V1033172	DNA-binding protein HU
V1033133	Ribosomal RNA small subunit methyltransferase H
V1032681	L-lactate dehydrogenase
V1000642	Enolase
V1033464	Glutamine synthetase
V1000596	Stress protein H5
V1033261	hypothetical protein
V1034296	Pyruvate oxidase
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1851967	Heat-inducible transcription repressor HrcA
V1032978	50S ribosomal protein L27
V1552772	Pyruvate kinase
V1884691	Surface layer protein
V1608705	Surface layer protein
V1033493	hypothetical protein
V1033444	hypothetical protein
V1880007	Surface layer protein
V1143274	gram-positive signal peptide%2C YSIRK family
V1828827	30S ribosomal protein S20
V1032309	Stress protein H5
V1032527	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1032514	hypothetical protein
V1046994	F-type ATPase subunit delta
V1101430	Bacterial Ig-like domain (group 3)
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1807974	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1032763	Surface layer protein
V1033375	Trigger factor
V1033550	HTH-type transcriptional repressor YvoA
V1338876	NADH peroxidase
V1047181	Multiple sugar-binding protein precursor
V1032374	D-alanine--poly(phosphoribitol) ligase subunit 1
V1684175	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1882158	hypothetical protein
V1206514	Ribose-phosphate pyrophosphokinase
V1032397	Recombinase A
V1828851	RNAP delta factor
V1033346	Valine--tRNA ligase
V1808084	hypothetical protein
V1033341	DAK2 domain fusion protein YloV
V1032371	Putative penicillin-binding protein PbpX
