Gene	KEGG_module_number	Annotation
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1033091	M00179	Ribosome, archaea
V1872734	M00179	Ribosome, archaea
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1033096	M00183	RNA polymerase, bacteria
V1885172	M00164	ATP synthase
V1032341	M00164	ATP synthase
V1032333	M00179	Ribosome, archaea
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1216924	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1033501	M00178	Ribosome, bacteria
V1032829	M00178	Ribosome, bacteria
V1032750	M00179	Ribosome, archaea
V1552800	M00178	Ribosome, bacteria
V1032342	M00164	ATP synthase
V1046993	M00164	ATP synthase
V1034213	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1338881	M00178	Ribosome, bacteria
V1032513	M00179	Ribosome, archaea
V1884575	M00179	Ribosome, archaea
V1046995	M00164	ATP synthase
V1828827	M00178	Ribosome, bacteria
V1032715	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1884576	M00164	ATP synthase
V1887313	M00178	Ribosome, bacteria
V1046991	M00164	ATP synthase
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1032826	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1032825	M00335	Sec (secretion) system
V1883121	M00164	ATP synthase
V1883385	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032978	M00178	Ribosome, bacteria
V1033428	M00276	PTS system, mannose-specific II component
V1047061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033493	M00178	Ribosome, bacteria
V1047181	M00207	Putative multiple sugar transport system
V1033346	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1034179	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1032814	M00179	Ribosome, archaea
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1032514	M00178	Ribosome, bacteria
V1828851	M00183	RNA polymerase, bacteria
V1199409	M00223	Phosphonate transport system
