gene	geneProduct
V1143274	gram-positive signal peptide%2C YSIRK family
V1000122	Elongation factor Tu
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1034630	DNA protection during starvation protein
V1431607	50S ribosomal protein L21
V1464571	Elongation factor Tu-B
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1423318	Immunoglobulin G-binding protein G precursor
V1000943	50S ribosomal protein L11
V1000549	Maltose phosphorylase
V1000546	Maltose/maltodextrin-binding protein precursor
V1339929	L-lactate dehydrogenase
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1073967	50S ribosomal protein L10
V1000487	Fructose-bisphosphate aldolase
V1000642	Enolase
V1000080	hypothetical protein
V1000004	DNA-directed RNA polymerase subunit alpha
V1000545	Maltose transport system permease protein MalF
V1000305	Enolase
V1000116	Pyruvate kinase
V1000944	50S ribosomal protein L1
V1000836	50S ribosomal protein L31 type B
V1912442	6-phosphofructokinase
V1195882	Fructose-bisphosphate aldolase
V1852142	gram-positive signal peptide%2C YSIRK family
V1886336	Phosphocarrier protein HPr
V1000527	Vegetative protein 19
V1006727	30S ribosomal protein S1
V1439186	50S ribosomal protein L19
V1887021	Trigger factor
V1852039	RNAP delta factor
V1000845	Glucose-6-phosphate isomerase
V1306539	50S ribosomal protein L13
V1000129	Tyrosine phosphorylated protein A
V1150384	hypothetical protein
V1000548	Beta-phosphoglucomutase
V1000075	Ribonuclease P protein component
V1000570	Rod shape-determining protein MreB
V1000640	Phosphoglycerate kinase
V1000079	DNA gyrase subunit A
V1000630	preprotein translocase subunit SecA
V1000144	Vegetative protein 209
V1000638	Central glycolytic genes regulator
V1553523	Foldase protein PrsA precursor
V1836823	hypothetical protein
V1836804	Lysine--tRNA ligase
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1001368	EIIAB-Man
V1392006	50S ribosomal protein L19
V1390055	hypothetical protein
V1000143	Elongation factor Ts
V1000828	ATP-dependent zinc metalloprotease FtsH
V1000001	30S ribosomal protein S9
V1290863	gram-positive signal peptide%2C YSIRK family
V1000841	F-type ATPase subunit delta
V1000023	Ribose-phosphate pyrophosphokinase
V1144133	hypothetical protein
V1006020	50S ribosomal protein L2
V1000326	Threonine--tRNA ligase
V1000021	50S ribosomal protein L3
V1852092	Folate ECF transporter S component FolT
V1203355	Chaperone protein DnaJ
V1000627	Ribonuclease Y
V1392169	hypothetical protein
V1000003	hypothetical protein
V1491714	30S ribosomal protein S1
V1852133	Translation initiation factor IF-3
V1000018	hypothetical protein
V1552772	Pyruvate kinase
V1000596	Stress protein H5
