Gene	KEGG_orthology_number	Annotation
V1684119	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1872750	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1872766	K00525	dphu:PHUM620170  ribonucleoside-diphosphate reductase large chain, putative;  
V1684088	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1872749	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1684135	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1808158	K07482	spn:SP_0915  IS1239 transposase; K07482 transposase, IS30 family
V1204502	K00527	zmo:ZMO1025  anaerobic ribonucleoside triphosphate reductase; K00527 ribonucleoside-triphosphate reductase [EC:1.17.4.2]
V1162988	K07482	spn:SP_0915  IS1239 transposase; K07482 transposase, IS30 family
V1032664	K02029	ypz:YPZ3_3524  ABC transporter permease; K02029 polar amino acid transport system permease protein
V1450945	K07487	spy:SPy_2013  IS1562 transposase; K07487 transposase
V1033557	K00134	dvvi:GSVIVP00035097001  GSVIVT00035097001; assembled CDS; K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
V1684144	K07496	xne:XNC1_2503  transposase; K07496 putative transposase
V1755600	K07493	ypp:YPDSF_4123  transposase; K07493 putative transposase
V1047171	K07487	spy:SPy_2013  IS1562 transposase; K07487 transposase
V1755585	K02470	dvvi:GSVIVP00000640001  GSVIVT00000640001; assembled CDS; K02470 DNA gyrase subunit B [EC:5.99.1.3]
V1032381	K01595	dvvi:GSVIVP00030262001  GSVIVT00030262001; assembled CDS; K01595 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
V1806613	K01529	dvvi:GSVIVP00035915001  GSVIVT00035915001; assembled CDS; K01529 
V1150427	K01624	dtps:35048  e_gw1.6.315.1; .; K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
V1032679	K03723	dosa:Os11t0533100-01  Os11g0533100; DEAD-like helicase, N-terminal domain containing protein.;  
V1033097	K01955	dtni:9790  ;  
V1684188	K07497	dsrd:25030  ;  
V1886306	K03696	dvvi:GSVIVP00018029001  GSVIVT00018029001; assembled CDS; K03696 ATP-dependent Clp protease ATP-binding subunit ClpC
V1047260	K14060	yep:YE105_P0068  resolvase TnpR; K14060 putative DNA-invertase from lambdoid prophage Rac
V1032473	K01928	zpr:ZPR_3812  UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase; K01928 UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
V1047215	K01256	dtni:9713  ;  
V1162625	K07486	ypz:YPZ3_pMT0062  transposase; K07486 transposase
V1047211	K08282	dvvi:GSVIVP00037509001  GSVIVT00037509001; assembled CDS; K04373 p90 ribosomal S6 kinase [EC:2.7.11.1]
V1032802	K03650	dvvi:GSVIVP00015270001  GSVIVT00015270001; assembled CDS; K03650 tRNA modification GTPase
V1033549	K01689	dvvi:GSVIVP00038473001  GSVIVT00038473001; assembled CDS; K01689 enolase [EC:4.2.1.11]
V1047235	K07482	spn:SP_0915  IS1239 transposase; K07482 transposase, IS30 family
V1884555	K01874	dvvi:GSVIVP00018514001  GSVIVT00018514001; assembled CDS; K01874 methionyl-tRNA synthetase [EC:6.1.1.10]
V1890890	K01537	dvvi:GSVIVP00028663001  GSVIVT00028663001; assembled CDS; K01537 Ca2+-transporting ATPase [EC:3.6.3.8]
