Gene	KEGG_pathwayID	Annotation
V1598369	map03018	RNA degradation
V1001201	map00710	Carbon fixation in photosynthetic organisms
V1000816	map05010	Alzheimer's disease
V1000781	map05152	Tuberculosis
V1000815	map00710	Carbon fixation in photosynthetic organisms
V1000962	map00240	Pyrimidine metabolism
V1000814	map00710	Carbon fixation in photosynthetic organisms
V1462044	map04626	Plant-pathogen interaction
V1000642	map03018	RNA degradation
V1001250	map00500	Starch and sucrose metabolism
V1000639	map05010	Alzheimer's disease
V1001274	map00330	Arginine and proline metabolism
V1256203	map00620	Pyruvate metabolism
V1481432	map04930	Type II diabetes mellitus
V1464571	map04626	Plant-pathogen interaction
V1001104	map02060	Phosphotransferase system (PTS)
V1365610	map00650	Butanoate metabolism
V1000950	map00680	Methane metabolism
V1000122	map04626	Plant-pathogen interaction
V1150432	map03020	RNA polymerase
V1000534	map00680	Methane metabolism
V1806743	map03020	RNA polymerase
V1256223	map03018	RNA degradation
V1806712	map02030	Bacterial chemotaxis
V1000277	map05211	Renal cell carcinoma
V1001230	map00520	Amino sugar and nucleotide sugar metabolism
V1000907	map00680	Methane metabolism
V1302774	map05010	Alzheimer's disease
V1257375	map03010	Ribosome
V1581714	map03010	Ribosome
V1000407	map03440	Homologous recombination
V1000596	map05152	Tuberculosis
V1339929	map00640	Propanoate metabolism
V1000276	map02020	Two-component system
V1000390	map03070	Bacterial secretion system
V1001040	map05150	Staphylococcus aureus infection
V1000040	map00240	Pyrimidine metabolism
V1000867	map03440	Homologous recombination
V1001276	map00330	Arginine and proline metabolism
V1000801	map00520	Amino sugar and nucleotide sugar metabolism
V1577228	map05152	Tuberculosis
V1580955	map05152	Tuberculosis
V1164548	map03020	RNA polymerase
V1431607	map03010	Ribosome
V1000433	map02020	Two-component system
V1001437	map00680	Methane metabolism
V1000734	map03010	Ribosome
V1000922	map03440	Homologous recombination
V1000925	map03070	Bacterial secretion system
V1000004	map03020	RNA polymerase
V1836857	map00970	Aminoacyl-tRNA biosynthesis
V1001410	map00720	Carbon fixation pathways in prokaryotes
V1301183	map02010	ABC transporters
V1462039	map02060	Phosphotransferase system (PTS)
V1000373	map03020	RNA polymerase
V1000685	map04724	Glutamatergic synapse
V1000266	map02020	Two-component system
V1001183	map00195	Photosynthesis
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1001181	map00195	Photosynthesis
V1001042	map05150	Staphylococcus aureus infection
V1001275	map00910	Nitrogen metabolism
V1000106	map00720	Carbon fixation pathways in prokaryotes
V1000116	map04930	Type II diabetes mellitus
V1000860	map03010	Ribosome
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1000650	map00561	Glycerolipid metabolism
V1430275	map00195	Photosynthesis
V1852039	map03020	RNA polymerase
V1001051	map02010	ABC transporters
V1302934	map00710	Carbon fixation in photosynthetic organisms
V1001203	map00550	Peptidoglycan biosynthesis
V1500383	map05152	Tuberculosis
V1552804	map05152	Tuberculosis
V1912442	map00680	Methane metabolism
V1000364	map03420	Nucleotide excision repair
V1001296	map00480	Glutathione metabolism
V1001603	map02010	ABC transporters
V1150496	map00195	Photosynthesis
V1001026	map04112	Cell cycle - Caulobacter
V1829441	map00620	Pyruvate metabolism
V1301925	map00650	Butanoate metabolism
V1000793	map00520	Amino sugar and nucleotide sugar metabolism
V1001184	map00195	Photosynthesis
V1000651	map00550	Peptidoglycan biosynthesis
V1302825	map03010	Ribosome
V1164541	map00240	Pyrimidine metabolism
V1001012	map00970	Aminoacyl-tRNA biosynthesis
V1000406	map03010	Ribosome
V1806685	map02020	Two-component system
V1207166	map00970	Aminoacyl-tRNA biosynthesis
V1580822	map03018	RNA degradation
V1000943	map03010	Ribosome
V1159981	map00195	Photosynthesis
V1481280	map05010	Alzheimer's disease
V1605175	map02010	ABC transporters
V1886895	map03010	Ribosome
V1257323	map00910	Nitrogen metabolism
V1000818	map04112	Cell cycle - Caulobacter
V1000546	map02030	Bacterial chemotaxis
V1257298	map03010	Ribosome
V1001060	map00970	Aminoacyl-tRNA biosynthesis
V1340131	map00520	Amino sugar and nucleotide sugar metabolism
V1150536	map04930	Type II diabetes mellitus
V1001255	map02010	ABC transporters
V1000247	map03030	DNA replication
V1392216	map05152	Tuberculosis
V1481435	map02060	Phosphotransferase system (PTS)
V1000549	map00500	Starch and sucrose metabolism
V1006032	map05150	Staphylococcus aureus infection
V1001252	map02010	ABC transporters
V1000921	map00564	Glycerophospholipid metabolism
V1000229	map00970	Aminoacyl-tRNA biosynthesis
V1592992	map00970	Aminoacyl-tRNA biosynthesis
V1033941	map00710	Carbon fixation in photosynthetic organisms
V1001200	map00970	Aminoacyl-tRNA biosynthesis
V1207185	map00903	Limonene and pinene degradation
V1150763	map04626	Plant-pathogen interaction
V1880077	map00970	Aminoacyl-tRNA biosynthesis
V1891073	map05010	Alzheimer's disease
V1104333	map00330	Arginine and proline metabolism
V1001495	map00760	Nicotinate and nicotinamide metabolism
V1598348	map00970	Aminoacyl-tRNA biosynthesis
V1001064	map03430	Mismatch repair
V1000879	map03440	Homologous recombination
V1000774	map03430	Mismatch repair
V1001254	map02010	ABC transporters
V1001002	map00500	Starch and sucrose metabolism
V1000678	map00550	Peptidoglycan biosynthesis
V1000659	map00970	Aminoacyl-tRNA biosynthesis
V1000434	map02020	Two-component system
V1000080	map03010	Ribosome
V1001148	map00550	Peptidoglycan biosynthesis
V1000001	map03010	Ribosome
V1000411	map04112	Cell cycle - Caulobacter
V1001086	map03010	Ribosome
V1204717	map00720	Carbon fixation pathways in prokaryotes
V1598547	map05152	Tuberculosis
V1000630	map03070	Bacterial secretion system
V1000766	map03430	Mismatch repair
V1000771	map03440	Homologous recombination
V1000545	map02010	ABC transporters
V1000305	map03018	RNA degradation
V1149413	map00650	Butanoate metabolism
V1150477	map00970	Aminoacyl-tRNA biosynthesis
V1806737	map00970	Aminoacyl-tRNA biosynthesis
V1001084	map03440	Homologous recombination
V1150440	map03018	RNA degradation
V1836804	map00970	Aminoacyl-tRNA biosynthesis
V1001099	map00680	Methane metabolism
V1806741	map02020	Two-component system
V1033882	map04626	Plant-pathogen interaction
V1464170	map00195	Photosynthesis
V1806698	map03018	RNA degradation
V1000841	map00195	Photosynthesis
V1001198	map00550	Peptidoglycan biosynthesis
V1001118	map00520	Amino sugar and nucleotide sugar metabolism
V1420559	map00250	Alanine, aspartate and glutamate metabolism
V1806684	map00230	Purine metabolism
V1000246	map03020	RNA polymerase
V1573676	map00240	Pyrimidine metabolism
V1553618	map03070	Bacterial secretion system
V1000845	map00520	Amino sugar and nucleotide sugar metabolism
V1000836	map03010	Ribosome
V1001191	map03010	Ribosome
V1000735	map03010	Ribosome
V1806701	map03420	Nucleotide excision repair
V1000761	map00760	Nicotinate and nicotinamide metabolism
V1001133	map00970	Aminoacyl-tRNA biosynthesis
V1256874	map00680	Methane metabolism
V1043485	map03010	Ribosome
V1162891	map00970	Aminoacyl-tRNA biosynthesis
V1000378	map03010	Ribosome
V1144304	map03010	Ribosome
V1000347	map00983	Drug metabolism - other enzymes
V1000944	map03010	Ribosome
V1001262	map00052	Galactose metabolism
V1210751	map03010	Ribosome
V1162881	map00521	Streptomycin biosynthesis
V1001150	map02060	Phosphotransferase system (PTS)
V1001025	map04112	Cell cycle - Caulobacter
V1001032	map00230	Purine metabolism
V1552718	map03430	Mismatch repair
V1000151	map03010	Ribosome
V1006017	map00240	Pyrimidine metabolism
V1891079	map03010	Ribosome
V1806744	map00680	Methane metabolism
V1000739	map00720	Carbon fixation pathways in prokaryotes
V1073967	map03010	Ribosome
V1573652	map00230	Purine metabolism
V1001268	map00250	Alanine, aspartate and glutamate metabolism
V1576144	map03070	Bacterial secretion system
V1006020	map03010	Ribosome
V1208713	map00650	Butanoate metabolism
V1299127	map00550	Peptidoglycan biosynthesis
V1001435	map03420	Nucleotide excision repair
V1001251	map00500	Starch and sucrose metabolism
V1806746	map03010	Ribosome
V1000044	map00910	Nitrogen metabolism
V1302626	map00620	Pyruvate metabolism
V1001460	map00250	Alanine, aspartate and glutamate metabolism
V1000023	map00230	Purine metabolism
V1598362	map00970	Aminoacyl-tRNA biosynthesis
V1001309	map00500	Starch and sucrose metabolism
V1806747	map03010	Ribosome
V1000268	map02020	Two-component system
V1000745	map00230	Purine metabolism
V1880218	map03020	RNA polymerase
V1000740	map03430	Mismatch repair
V1000383	map03010	Ribosome
V1000810	map00720	Carbon fixation pathways in prokaryotes
V1001145	map02010	ABC transporters
V1001399	map00480	Glutathione metabolism
V1553655	map00790	Folate biosynthesis
V1000919	map05010	Alzheimer's disease
V1150732	map00982	Drug metabolism - cytochrome P450
V1302738	map04930	Type II diabetes mellitus
V1000773	map03430	Mismatch repair
V1001459	map00250	Alanine, aspartate and glutamate metabolism
V1000237	map00624	Polycyclic aromatic hydrocarbon degradation
V1573648	map03010	Ribosome
V1000272	map00680	Methane metabolism
V1306539	map03010	Ribosome
V1836869	map02010	ABC transporters
V1001044	map02020	Two-component system
V1000866	map04112	Cell cycle - Caulobacter
V1000003	map03010	Ribosome
V1000964	map02010	ABC transporters
V1598288	map03018	RNA degradation
V1000931	map03420	Nucleotide excision repair
V1001308	map02060	Phosphotransferase system (PTS)
V1301168	map02010	ABC transporters
V1000865	map04070	Phosphatidylinositol signaling system
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1580961	map03010	Ribosome
V1001005	map00550	Peptidoglycan biosynthesis
V1000342	map00520	Amino sugar and nucleotide sugar metabolism
V1000676	map00970	Aminoacyl-tRNA biosynthesis
V1150397	map04112	Cell cycle - Caulobacter
V1000548	map00500	Starch and sucrose metabolism
V1886517	map00640	Propanoate metabolism
V1001089	map03010	Ribosome
V1598284	map00471	D-Glutamine and D-glutamate metabolism
V1000769	map00480	Glutathione metabolism
V1000292	map00190	Oxidative phosphorylation
V1000770	map03070	Bacterial secretion system
V1064534	map03020	RNA polymerase
V1302081	map00520	Amino sugar and nucleotide sugar metabolism
V1001193	map04122	Sulfur relay system
V1573656	map00910	Nitrogen metabolism
V1887027	map00710	Carbon fixation in photosynthetic organisms
V1000362	map00473	D-Alanine metabolism
V1163012	map00550	Peptidoglycan biosynthesis
V1001061	map00970	Aminoacyl-tRNA biosynthesis
V1365511	map02010	ABC transporters
V1492438	map03010	Ribosome
V1001023	map04112	Cell cycle - Caulobacter
V1000979	map00330	Arginine and proline metabolism
V1836858	map03440	Homologous recombination
V1001021	map00550	Peptidoglycan biosynthesis
V1000057	map00230	Purine metabolism
V1000930	map00450	Selenocompound metabolism
V1000652	map03440	Homologous recombination
V1000980	map02010	ABC transporters
V1295196	map04112	Cell cycle - Caulobacter
V1000840	map00195	Photosynthesis
V1046767	map03440	Homologous recombination
V1806689	map00730	Thiamine metabolism
V1000741	map00900	Terpenoid backbone biosynthesis
V1162890	map00520	Amino sugar and nucleotide sugar metabolism
V1547335	map03440	Homologous recombination
V1001072	map00564	Glycerophospholipid metabolism
V1001236	map02010	ABC transporters
V1000414	map00300	Lysine biosynthesis
V1581231	map03010	Ribosome
V1000403	map03440	Homologous recombination
V1000421	map00650	Butanoate metabolism
V1001353	map00190	Oxidative phosphorylation
V1000997	map00010	Glycolysis / Gluconeogenesis
V1519450	map00710	Carbon fixation in photosynthetic organisms
V1806714	map00230	Purine metabolism
V1301524	map02010	ABC transporters
V1552772	map04930	Type II diabetes mellitus
V1001146	map02020	Two-component system
V1806709	map05152	Tuberculosis
V1001514	map04112	Cell cycle - Caulobacter
V1207150	map03010	Ribosome
V1000752	map03440	Homologous recombination
V1880977	map00550	Peptidoglycan biosynthesis
V1006727	map03010	Ribosome
V1257460	map00550	Peptidoglycan biosynthesis
V1889488	map05010	Alzheimer's disease
V1000820	map00620	Pyruvate metabolism
V1001470	map00520	Amino sugar and nucleotide sugar metabolism
V1001319	map02020	Two-component system
V1001066	map00910	Nitrogen metabolism
V1001022	map00550	Peptidoglycan biosynthesis
V1880268	map00195	Photosynthesis
V1001468	map00970	Aminoacyl-tRNA biosynthesis
V1158500	map00680	Methane metabolism
V1000162	map00790	Folate biosynthesis
V1000326	map00970	Aminoacyl-tRNA biosynthesis
V1163594	map02060	Phosphotransferase system (PTS)
V1000965	map02010	ABC transporters
V1302454	map00650	Butanoate metabolism
V1000093	map05150	Staphylococcus aureus infection
V1000637	map04112	Cell cycle - Caulobacter
V1301148	map00603	Glycosphingolipid biosynthesis - globo series
V1886416	map04930	Type II diabetes mellitus
V1000018	map03010	Ribosome
V1143683	map03020	RNA polymerase
V1000998	map02060	Phosphotransferase system (PTS)
V1000982	map00650	Butanoate metabolism
V1033869	map04626	Plant-pathogen interaction
V1297356	map04626	Plant-pathogen interaction
V1000301	map00230	Purine metabolism
V1000929	map00564	Glycerophospholipid metabolism
V1158561	map03430	Mismatch repair
V1000762	map00480	Glutathione metabolism
V1000261	map00970	Aminoacyl-tRNA biosynthesis
V1000641	map00710	Carbon fixation in photosynthetic organisms
V1000880	map00230	Purine metabolism
V1000436	map03013	RNA transport
V1000017	map03010	Ribosome
V1000069	map02020	Two-component system
V1001232	map00561	Glycerolipid metabolism
V1033925	map00195	Photosynthesis
V1000271	map00640	Propanoate metabolism
V1001176	map00550	Peptidoglycan biosynthesis
V1207252	map02060	Phosphotransferase system (PTS)
V1000262	map00970	Aminoacyl-tRNA biosynthesis
V1302571	map03010	Ribosome
V1301213	map02010	ABC transporters
V1001289	map02010	ABC transporters
V1806729	map02010	ABC transporters
V1000168	map00970	Aminoacyl-tRNA biosynthesis
V1302232	map00680	Methane metabolism
V1306762	map02060	Phosphotransferase system (PTS)
V1806760	map02010	ABC transporters
V1000643	map03018	RNA degradation
V1503139	map03440	Homologous recombination
V1555403	map03430	Mismatch repair
V1000360	map00550	Peptidoglycan biosynthesis
V1149628	map00240	Pyrimidine metabolism
V1001182	map00195	Photosynthesis
V1149342	map00250	Alanine, aspartate and glutamate metabolism
V1000171	map02010	ABC transporters
V1000269	map04622	RIG-I-like receptor signaling pathway
V1002510	map00240	Pyrimidine metabolism
V1000391	map00230	Purine metabolism
V1000963	map02010	ABC transporters
V1149596	map02060	Phosphotransferase system (PTS)
V1886582	map00710	Carbon fixation in photosynthetic organisms
V1001466	map00520	Amino sugar and nucleotide sugar metabolism
V1000564	map04112	Cell cycle - Caulobacter
V1000914	map00030	Pentose phosphate pathway
V1000400	map03070	Bacterial secretion system
V1001069	map00051	Fructose and mannose metabolism
V1573649	map00564	Glycerophospholipid metabolism
V1598271	map03440	Homologous recombination
V1143245	map03010	Ribosome
V1851983	map03430	Mismatch repair
V1207411	map00521	Streptomycin biosynthesis
V1000755	map02010	ABC transporters
V1580921	map05152	Tuberculosis
V1000973	map00240	Pyrimidine metabolism
V1000402	map03440	Homologous recombination
V1001248	map00500	Starch and sucrose metabolism
V1036606	map00195	Photosynthesis
V1491714	map03010	Ribosome
V1257428	map00521	Streptomycin biosynthesis
V1301897	map00195	Photosynthesis
V1304478	map02060	Phosphotransferase system (PTS)
V1000219	map03013	RNA transport
V1001303	map02020	Two-component system
V1364877	map00195	Photosynthesis
V1150022	map00710	Carbon fixation in photosynthetic organisms
V1001175	map02020	Two-component system
V1001245	map00730	Thiamine metabolism
V1000236	map00900	Terpenoid backbone biosynthesis
V1001372	map00650	Butanoate metabolism
V1000318	map00970	Aminoacyl-tRNA biosynthesis
V1001531	map00624	Polycyclic aromatic hydrocarbon degradation
V1000335	map00970	Aminoacyl-tRNA biosynthesis
V1001301	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
V1159677	map00195	Photosynthesis
V1000502	map00983	Drug metabolism - other enzymes
V1000806	map02010	ABC transporters
V1143984	map03018	RNA degradation
V1547358	map00603	Glycosphingolipid biosynthesis - globo series
V1001114	map00900	Terpenoid backbone biosynthesis
V1204924	map00970	Aminoacyl-tRNA biosynthesis
V1000499	map00970	Aminoacyl-tRNA biosynthesis
V1000388	map03010	Ribosome
V1000765	map00730	Thiamine metabolism
V1001135	map00270	Cysteine and methionine metabolism
V1469363	map00760	Nicotinate and nicotinamide metabolism
V1001067	map00760	Nicotinate and nicotinamide metabolism
V1381099	map00195	Photosynthesis
V1806724	map00051	Fructose and mannose metabolism
V1001379	map02010	ABC transporters
V1256334	map02010	ABC transporters
V1000082	map04112	Cell cycle - Caulobacter
V1000759	map03070	Bacterial secretion system
V1001081	map03440	Homologous recombination
V1059001	map02060	Phosphotransferase system (PTS)
V1303260	map00230	Purine metabolism
V1836820	map00550	Peptidoglycan biosynthesis
V1001169	map03018	RNA degradation
V1136929	map00240	Pyrimidine metabolism
V1000021	map03010	Ribosome
V1000913	map00240	Pyrimidine metabolism
V1360328	map03010	Ribosome
V1000077	map03440	Homologous recombination
V1001411	map00910	Nitrogen metabolism
V1000977	map00770	Pantothenate and CoA biosynthesis
V1209736	map02010	ABC transporters
V1891385	map03010	Ribosome
V1000634	map03420	Nucleotide excision repair
V1439186	map03010	Ribosome
V1000442	map02010	ABC transporters
V1001320	map02030	Bacterial chemotaxis
V1150451	map00270	Cysteine and methionine metabolism
V1392504	map03010	Ribosome
V1001170	map03440	Homologous recombination
V1001010	map00564	Glycerophospholipid metabolism
V1001107	map00520	Amino sugar and nucleotide sugar metabolism
V1481324	map00970	Aminoacyl-tRNA biosynthesis
V1357707	map02020	Two-component system
V1305628	map02060	Phosphotransferase system (PTS)
V1000905	map00240	Pyrimidine metabolism
V1149598	map05152	Tuberculosis
V1503149	map03018	RNA degradation
V1101641	map00500	Starch and sucrose metabolism
V1207193	map00270	Cysteine and methionine metabolism
V1209802	map00650	Butanoate metabolism
V1000834	map03018	RNA degradation
V1033902	map05010	Alzheimer's disease
V1464441	map00970	Aminoacyl-tRNA biosynthesis
V1614139	map03010	Ribosome
V1836852	map00970	Aminoacyl-tRNA biosynthesis
V1000500	map03430	Mismatch repair
V1000756	map02010	ABC transporters
V1001235	map02010	ABC transporters
V1755676	map03010	Ribosome
V1000672	map03070	Bacterial secretion system
V1001267	map00250	Alanine, aspartate and glutamate metabolism
V1000385	map03010	Ribosome
V1000835	map00550	Peptidoglycan biosynthesis
V1000547	map02010	ABC transporters
V1150723	map00450	Selenocompound metabolism
V1541236	map04626	Plant-pathogen interaction
V1000601	map00970	Aminoacyl-tRNA biosynthesis
V1058821	map03440	Homologous recombination
V1000563	map00230	Purine metabolism
V1001035	map04122	Sulfur relay system
V1000172	map02010	ABC transporters
V1000605	map03430	Mismatch repair
V1000132	map03440	Homologous recombination
V1257426	map00010	Glycolysis / Gluconeogenesis
V1555497	map00195	Photosynthesis
V1302538	map02010	ABC transporters
V1000671	map02020	Two-component system
V1607575	map03440	Homologous recombination
V1000920	map01040	Biosynthesis of unsaturated fatty acids
V1852083	map03010	Ribosome
V1001076	map02060	Phosphotransferase system (PTS)
V1001462	map00983	Drug metabolism - other enzymes
V1522031	map00300	Lysine biosynthesis
V1001408	map00983	Drug metabolism - other enzymes
V1000807	map00550	Peptidoglycan biosynthesis
V1000152	map03070	Bacterial secretion system
V1001240	map00510	N-Glycan biosynthesis
V1137029	map00190	Oxidative phosphorylation
V1852138	map00010	Glycolysis / Gluconeogenesis
V1033803	map00195	Photosynthesis
V1481366	map03010	Ribosome
V1001013	map00790	Folate biosynthesis
V1001077	map02060	Phosphotransferase system (PTS)
V1806708	map02010	ABC transporters
V1576136	map00640	Propanoate metabolism
V1576462	map00650	Butanoate metabolism
V1000633	map03420	Nucleotide excision repair
V1598366	map00230	Purine metabolism
V1491720	map03010	Ribosome
V1356068	map03018	RNA degradation
V1886451	map02010	ABC transporters
V1001130	map00230	Purine metabolism
V1001431	map00030	Pentose phosphate pathway
V1000892	map00520	Amino sugar and nucleotide sugar metabolism
V1001008	map03030	DNA replication
V1580969	map00550	Peptidoglycan biosynthesis
V1001041	map05150	Staphylococcus aureus infection
V1301956	map05150	Staphylococcus aureus infection
V1580898	map03010	Ribosome
V1000222	map00770	Pantothenate and CoA biosynthesis
V1001322	map02060	Phosphotransferase system (PTS)
V1213480	map03440	Homologous recombination
V1552737	map05150	Staphylococcus aureus infection
V1481441	map03018	RNA degradation
V1001475	map02010	ABC transporters
V1806713	map00230	Purine metabolism
V1000300	map00970	Aminoacyl-tRNA biosynthesis
V1000842	map00195	Photosynthesis
V1519991	map03440	Homologous recombination
V1001489	map00903	Limonene and pinene degradation
V1362252	map00643	Styrene degradation
V1001000	map00520	Amino sugar and nucleotide sugar metabolism
V1001105	map00010	Glycolysis / Gluconeogenesis
V1000573	map04122	Sulfur relay system
V1000862	map00240	Pyrimidine metabolism
V1167440	map00500	Starch and sucrose metabolism
V1297375	map03010	Ribosome
V1580709	map03010	Ribosome
V1000757	map02010	ABC transporters
V1001265	map00720	Carbon fixation pathways in prokaryotes
V1000375	map03010	Ribosome
V1001062	map00970	Aminoacyl-tRNA biosynthesis
V1392006	map03010	Ribosome
V1000664	map00760	Nicotinate and nicotinamide metabolism
V1000648	map00561	Glycerolipid metabolism
V1001180	map00195	Photosynthesis
V1209701	map00760	Nicotinate and nicotinamide metabolism
V1886965	map00520	Amino sugar and nucleotide sugar metabolism
V1001432	map00710	Carbon fixation in photosynthetic organisms
V1302403	map03410	Base excision repair
V1000440	map02010	ABC transporters
V1144133	map02010	ABC transporters
V1420722	map00230	Purine metabolism
V1000533	map00240	Pyrimidine metabolism
V1000427	map00740	Riboflavin metabolism
V1001496	map00230	Purine metabolism
V1617343	map00550	Peptidoglycan biosynthesis
V1852084	map03010	Ribosome
V1852094	map00250	Alanine, aspartate and glutamate metabolism
V1000753	map00564	Glycerophospholipid metabolism
V1001292	map02020	Two-component system
V1547360	map00500	Starch and sucrose metabolism
V1000387	map03010	Ribosome
V1000746	map03020	RNA polymerase
V1806670	map00550	Peptidoglycan biosynthesis
V1886712	map00520	Amino sugar and nucleotide sugar metabolism
V1000874	map00740	Riboflavin metabolism
V1149467	map00910	Nitrogen metabolism
V1302819	map03070	Bacterial secretion system
V1001037	map04122	Sulfur relay system
V1157552	map00230	Purine metabolism
V1064200	map00564	Glycerophospholipid metabolism
V1164544	map03440	Homologous recombination
V1852140	map00970	Aminoacyl-tRNA biosynthesis
V1000155	map00900	Terpenoid backbone biosynthesis
V1000852	map02060	Phosphotransferase system (PTS)
V1594229	map00480	Glutathione metabolism
V1000684	map00910	Nitrogen metabolism
V1164542	map00970	Aminoacyl-tRNA biosynthesis
V1598279	map03010	Ribosome
V1000660	map03010	Ribosome
V1851984	map00910	Nitrogen metabolism
V1482595	map03010	Ribosome
V1608313	map04930	Type II diabetes mellitus
V1001083	map00240	Pyrimidine metabolism
V1000831	map03420	Nucleotide excision repair
V1000851	map00500	Starch and sucrose metabolism
V1001106	map00520	Amino sugar and nucleotide sugar metabolism
V1065125	map03010	Ribosome
V1043585	map03010	Ribosome
V1144147	map00240	Pyrimidine metabolism
V1000008	map00230	Purine metabolism
V1000013	map03010	Ribosome
V1886694	map00230	Purine metabolism
V1001058	map00520	Amino sugar and nucleotide sugar metabolism
V1149391	map00550	Peptidoglycan biosynthesis
V1033474	map04626	Plant-pathogen interaction
V1852080	map00550	Peptidoglycan biosynthesis
V1886653	map00250	Alanine, aspartate and glutamate metabolism
V1001113	map00624	Polycyclic aromatic hydrocarbon degradation
V1001149	map00051	Fructose and mannose metabolism
V1364188	map00195	Photosynthesis
V1000249	map00970	Aminoacyl-tRNA biosynthesis
V1000632	map00564	Glycerophospholipid metabolism
V1001115	map00900	Terpenoid backbone biosynthesis
V1880976	map00970	Aminoacyl-tRNA biosynthesis
V1000316	map00550	Peptidoglycan biosynthesis
V1000173	map03440	Homologous recombination
V1000248	map00970	Aminoacyl-tRNA biosynthesis
V1000622	map00760	Nicotinate and nicotinamide metabolism
V1001425	map02060	Phosphotransferase system (PTS)
V1301906	map00680	Methane metabolism
V1552713	map00520	Amino sugar and nucleotide sugar metabolism
