gene	geneProduct
V1430591	hypothetical protein
V1037443	hypothetical protein
V1819311	hypothetical protein
V1038310	putative distant relative of cell wall-associated hydrolases
V1394389	Cyclodextrin-binding protein precursor
V1445428	hypothetical protein
V1337358	Thiol-activated cytolysin
V1266177	Nickel-binding periplasmic protein precursor
V1239708	hypothetical protein
V1291476	hypothetical protein
V1015704	Formate acetyltransferase 1
V1239646	hypothetical protein
V1038361	Elongation factor Tu
V1037187	Lipid A export ATP-binding/permease protein MsbA
V1265517	Trehalose import ATP-binding protein SugC
V1168094	50S ribosomal protein L6
V1036256	Maltodextrin-binding protein
V1884207	Maltose transport system permease protein MalF
V1013253	Elongation factor Tu
V1143274	gram-positive signal peptide%2C YSIRK family
V1267333	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW precursor
V1834903	chromosome segregation protein SMC
V1151522	hypothetical protein
V1819315	hypothetical protein
V1195096	30S ribosomal protein S2
V1037518	50S ribosomal protein L7/L12
V1421861	hypothetical protein
V1076325	hypothetical protein
V1009516	Enolase
V1312248	Trigger factor
V1383824	Nickel-binding periplasmic protein precursor
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1301930	50S ribosomal protein L7/L12
V1723300	Putative peptidoglycan binding domain protein
V1390211	phage major capsid protein%2C HK97 family
V1239069	Helix-destabilizing protein
V1364027	maltose ABC transporter periplasmic protein
V1085154	hypothetical protein
V1362785	maltose ABC transporter periplasmic protein
V1036191	Alkyl hydroperoxide reductase subunit C
V1687741	Maltodextrin-binding protein
V1436794	Maltose-binding periplasmic proteins/domains
V1334911	30S ribosomal protein S2
V1036379	1%2C4-alpha-glucan branching enzyme GlgB
V1458477	30S ribosomal protein S16
V1239597	Dark-response protein 21
V1409431	30S ribosomal protein S4
V1036227	Dipeptide-binding protein DppE precursor
V1464571	Elongation factor Tu-B
V1006055	Thiol-activated cytolysin
V1123844	cell division protein GpsB
V1464847	hypothetical protein
V1157772	Translation initiation factor IF-3
V1819269	50S ribosomal protein L2
V1070888	Thiol-activated cytolysin
V1200931	50S ribosomal protein L16
V1440555	F-type ATPase subunit b
V1168807	Translation initiation factor IF-1
V1526141	Phenylalanine--tRNA ligase beta subunit
V1081232	Formate acetyltransferase 1
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1501533	hypothetical protein
V1395005	F-ATPase subunit 6
V1038252	F-ATPase gamma subunit
V1145315	DNA-directed RNA polymerase subunit alpha
V1334689	phage portal protein%2C HK97 family
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1000122	Elongation factor Tu
V1032104	Putative amidase domain protein
V1006096	hypothetical protein
V1167759	Pyruvate kinase
V1006110	50S ribosomal protein L24
V1723592	30S ribosomal protein S16
V1267672	hypothetical protein
V1237384	Polyphosphate glucokinase
V1172076	Trehalose import ATP-binding protein SugC
V1001477	hypothetical protein
V1266152	hypothetical protein
V1007247	putative arabinose-binding protein precursor
V1000546	Maltose/maltodextrin-binding protein precursor
V1036261	Inner membrane ABC transporter permease protein YcjP
V1806797	putative ABC transporter ATP-binding protein YheS
V1394405	hypothetical protein
V1011230	Alkyl hydroperoxide reductase subunit C
V1145663	Elongation factor G
V1037884	hypothetical protein
V1705037	hypothetical protein
V1806795	Glyceraldehyde-3-phosphate dehydrogenase
V1031976	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1449437	phage major capsid protein%2C HK97 family
V1705007	preprotein translocase subunit SecY
V1430161	PII-type proteinase precursor
V1430209	PII-type proteinase precursor
V1430318	putative outer membrane protein
V1547673	toxin secretion/phage lysis holin
V1150331	phage major tail protein%2C phi13 family
V1036274	DivIVA domain protein
V1367590	Elongation factor Ts
V1036253	Cell division protein FtsZ
V1237403	Transaldolase
V1705123	hypothetical protein
V1371652	hypothetical protein
V1553878	1%2C4-alpha-glucan branching enzyme GlgB
V1162256	30S ribosomal protein S4
V1368901	Maltose/maltodextrin-binding protein precursor
V1704984	Phosphomethylpyrimidine synthase
V1032287	hypothetical protein
V1819306	C protein alpha-antigen precursor
V1158372	ATP synthase subunit beta
V1239589	ABC transporter permease YtrF precursor
V1000549	Maltose phosphorylase
V1345236	DNA-binding protein HB1
V1068939	1%2C4-alpha-glucan branching enzyme GlgB
V1555046	Translation initiation factor IF-1
V1348573	30S ribosomal protein S5
V1362787	30S ribosomal protein S15
V1000545	Maltose transport system permease protein MalF
V1099394	Maltose transport system permease protein MalG
V1836823	hypothetical protein
V1036259	4-alpha-glucanotransferase
V1318362	50S ribosomal protein L15
V1403747	tRNA guanosine-2'-O-methyltransferase
V1239564	CTP synthase
V1503141	LPXTG cell wall anchor domain protein
V1002465	Elongation factor Tu
V1139904	Alcohol dehydrogenase 1
V1554020	Cyclodextrin-binding protein precursor
V1265423	hypothetical protein
V1239604	DNA-directed RNA polymerase subunit beta'
V1037423	ATP synthase subunit alpha
V1383867	hypothetical protein
V1150333	phage tail tape measure protein%2C TP901 family%2C core region
V1000004	DNA-directed RNA polymerase subunit alpha
V1140472	50S ribosomal protein L11
V1037047	Trigger factor
V1445176	Ribulose-phosphate 3-epimerase
V1617969	30S ribosomal protein S16
V1038323	Maltose transport system permease protein MalG
V1085355	hypothetical protein
V1151553	Phage-related protein
V1145034	hypothetical protein
V1032060	Transaldolase
V1347762	30S ribosomal protein S16
V1166828	hypothetical protein
V1020162	50S ribosomal protein L29
V1138581	DNA gyrase subunit A
V1239647	Elongation factor G
V1007951	Elongation factor Ts
V1013641	Dipeptide-binding protein DppE precursor
V1687755	30S ribosomal protein S10
V1617034	Putative endo-beta-N-acetylglucosaminidase precursor
V1020161	hypothetical protein
V1704981	sn-glycerol-3-phosphate transport system permease protein UgpA
V1705008	Valine--tRNA ligase
V1237432	F-type ATPase subunit delta
V1167633	NADH dehydrogenase
V1337287	30S ribosomal protein S5
V1013250	Cold shock protein CspC
V1036258	L-arabinose transport system permease protein AraQ
V1016999	Elongation factor Tu
V1036976	Anaerobic ribonucleoside-triphosphate reductase
V1036479	Serine/threonine-protein kinase PknB
V1819326	Pullulanase precursor
V1334690	Phage-related protein
V1352387	ribosomal subunit interface protein
V1010320	putative FAD-linked oxidoreductase
V1554160	50S ribosomal protein L6
V1266138	Anaerobic ribonucleoside-triphosphate reductase
V1003154	F-type ATPase subunit b
V1195651	Elongation factor Ts
V1386117	Elongation factor Ts
V1705092	hypothetical protein
V1036212	Maltose transport system permease protein MalF
V1018179	50S ribosomal protein L3
V1140341	Fructose-bisphosphate aldolase
V1198623	DNA-directed RNA polymerase subunit beta'
V1037108	Sulfur carrier protein ThiS adenylyltransferase
V1553792	RNA polymerase-binding transcription factor CarD
V1723469	50S ribosomal protein L5
V1445419	Pyruvate kinase
V1070407	Maltodextrin-binding protein
V1383974	30S ribosomal protein S1
V1687738	Leucine--tRNA ligase
V1265594	hypothetical protein
V1385672	C protein alpha-antigen precursor
V1006063	50S ribosomal protein L13
V1449438	hypothetical protein
V1150326	phage prohead protease%2C HK97 family
V1006057	hypothetical protein
V1436495	co-chaperonin GroES
V1141150	Enolase
V1151552	hypothetical protein
V1549573	co-chaperonin GroES
V1486082	hypothetical protein
V1108326	Maltodextrin phosphorylase
V1036378	Uridylate kinase
V1201722	Glutathione-binding protein GsiB precursor
V1383919	Transketolase
V1365642	30S ribosomal protein S8
V1431607	50S ribosomal protein L21
V1007262	R3H domain protein
V1394807	Elongation factor Tu
V1419064	Thiol-activated cytolysin
V1723757	50S ribosomal protein L21
V1819334	Listeria-Bacteroides repeat domain (List_Bact_rpt)
V1162245	Maltodextrin phosphorylase
V1345614	NADP-dependent isopropanol dehydrogenase
V1084588	ATP synthase subunit beta
V1219276	phage protein%2C HK97 gp10 family
V1604018	50S ribosomal protein L2
V1155973	Carbon starvation protein A
V1705041	N-acetylmuramoyl-L-alanine amidase domain-containing protein precursor
V1200583	Dihydroorotate dehydrogenase (quinone)
V1178384	Elongation factor G
V1000527	Vegetative protein 19
V1154084	Stress protein H5
V1246962	50S ribosomal protein L16
V1001368	EIIAB-Man
V1139691	preprotein translocase subunit SecY
V1110058	30S ribosomal protein S2
V1704987	hypothetical protein
V1151859	Polyribonucleotide nucleotidyltransferase
V1036773	DNA gyrase subunit B
V1000578	anaerobic benzoate catabolism transcriptional regulator
V1151596	PII-type proteinase precursor
V1436124	Cell division protein FtsZ
V1883290	hypothetical protein
V1011906	Heat shock protein 70
V1806812	recombination factor protein RarA
V1737054	hypothetical protein
V1000548	Beta-phosphoglucomutase
V1390174	Phage-related protein
V1037189	putative bacteriocin transport accessory protein
V1885679	hypothetical protein
V1171477	hypothetical protein
V1266287	ATP-dependent Clp protease proteolytic subunit 1
V1006101	hypothetical protein
V1016072	DNA replication initiation protein gpA
V1290408	Alkyl hydroperoxide reductase subunit C
V1705042	Proline--tRNA ligase
V1010633	Fimbrial subunit type 1 precursor
V1012495	hypothetical protein
V1000171	Oligopeptide-binding protein AppA precursor
V1150313	putative phage-encoded protein
V1007273	sortase
