gene	geneProduct
V1684119	Transposase
V1149298	Transposase
V1872750	Transposase
V1002229	Transposase DDE domain protein
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1684181	hypothetical protein
V1684088	Transposase
V1694047	hypothetical protein
V1872749	Transposase
V1684135	Transposase
V1608705	Surface layer protein
V1808158	Transposase%2C IS30 family
V1016072	DNA replication initiation protein gpA
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1162988	Transposase%2C IS30 family
V1032664	Arginine transport system permease protein ArtQ
V1016074	capsid protein
V1684144	transposase%2C IS605 OrfB family
V1047171	Transposase DDE domain protein
V1755585	DNA gyrase subunit B
V1032381	Phosphoenolpyruvate carboxylase
V1806613	ATP-dependent RNA helicase SrmB
V1150427	Fructose-bisphosphate aldolase
V1032679	Transcription-repair-coupling factor
V1033097	Carbamoyl-phosphate synthase large chain
V1016073	minor spike protein
V1684188	putative transposase OrfB
V1886306	ATP-dependent Clp protease ATP-binding subunit ClpC
V1047260	Transposon resolvase
V1032473	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1034270	Transposase DDE domain protein
V1047215	Aminopeptidase N
V1162625	Transposase IS116/IS110/IS902 family protein
V1047211	N-formylmethionyl-tRNA deformylase
V1032802	tRNA modification GTPase MnmE
V1033549	Enolase
V1047235	Transposase%2C IS30 family
V1032665	Helicase IV
V1034291	Type I restriction enzyme EcoKI M protein
V1614144	Transposase%2C IS30 family
V1047062	DNA polymerase I
V1032462	Thiamine biosynthesis lipoprotein ApbE precursor
V1614186	Transposase
V1828860	MucBP domain protein
V1032299	DNA ligase
V1033578	putative bacteriocin transport accessory protein
V1032206	Neutral endopeptidase
V1047277	Sporulation initiation inhibitor protein soj
V1032880	DNA gyrase subunit A
V1828770	Phosphoenolpyruvate synthase
V1047005	ATP-dependent helicase/nuclease subunit A
V1032538	outer membrane lipoprotein
V1033127	Replicative DNA helicase
V1143661	Ribonuclease Y
V1755531	Transposase DDE domain protein
V1032803	Glucose-inhibited division protein A
V1032626	Acetate kinase
V1199409	Phosphate-import protein PhnD precursor
V1150392	Alpha-xylosidase
V1338863	Pyruvate kinase
V1047008	putative cell division protein YtgP
V1032310	DNA mismatch repair protein MutS
V1143165	Sodium/proton antiporter
V1033079	6-phosphofructokinase
V1047038	hypothetical protein
V1150368	Modification methylase HindIII
V1032324	Calcium-transporting ATPase
V1033276	Isoleucine--tRNA ligase
V1047039	type IV secretion system protein VirD4
V1032210	anaerobic ribonucleotide reductase-activating protein
V1033010	putative ATPase (AAA+ superfamily)
V1033256	Exodeoxyribonuclease V alpha chain
V1033464	Glutamine synthetase
V1883383	putative ABC transporter ATP-binding protein
V1033346	Valine--tRNA ligase
V1237103	Aryl-phospho-beta-D-glucosidase BglH
V1366247	chromosome segregation protein SMC
V1032628	Intracellular maltogenic amylase
V1033629	Heat shock protein 70
V1796834	ATP-dependent DNA helicase PcrA
V1880898	putative cell division protein YtgP
V1032939	K(+)/H(+) antiporter
V1032412	Dipeptidase A
V1034187	Primosomal protein N'
V1149283	hypothetical protein
V1033009	Alpha-xylosidase
V1101378	hypothetical protein
V1885045	Transposase IS116/IS110/IS902 family protein
V1032903	Chromosome partition protein Smc
V1047070	Penicillin-binding protein 2B
V1032231	Arginine transport system permease protein ArtQ
V1032397	Recombinase A
V1033189	putative membrane protein
V1608693	Aspartate-semialdehyde dehydrogenase
V1199359	PTS system lichenan-specific EIIC component
V1163652	ATP-dependent zinc metalloprotease FtsH
V1338876	NADH peroxidase
V1884884	Magnesium-transporting ATPase%2C P-type 1
V1032804	6-phosphogluconate dehydrogenase%2C NADP(+)-dependent%2C decarboxylating
V1032699	Aminopeptidase E
V1034201	Lactococcin-G-processing and transport ATP-binding protein LagD
V1047258	Replication initiation factor
V1032470	putative ABC transporter ATP-binding protein
V1032565	ATP-dependent helicase
V1034259	Elongation factor Tu
V1032728	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1684154	DNA-directed RNA polymerase subunit beta'
V1047001	2%2C5-diketo-D-gluconic acid reductase A
V1755572	Sensor protein kinase WalK
V1047255	Glycolate permease GlcA
V1032767	Magnesium-transporting ATPase%2C P-type 1
V1032716	Lon protease 2
V1806610	H(+)/Cl(-) exchange transporter ClcA
V1034239	Oleate hydratase
V1034296	Pyruvate oxidase
V1032729	Glucan 1%2C6-alpha-glucosidase
V1828790	gram-positive signal peptide%2C YSIRK family
V1032881	DNA replication and repair protein RecF
V1541158	major spike protein
V1237088	hypothetical protein
V1163789	Deoxyadenosine kinase
V1032226	YibE/F-like protein
V1033413	Adenylosuccinate synthetase
V1033132	Penicillin-binding protein B
V1047113	Serine/threonine-protein kinase PrkC
V1684170	Chromosomal replication initiator protein DnaA
V1883309	1-deoxy-D-xylulose-5-phosphate synthase
V1033030	Bifunctional (p)ppGpp synthase/hydrolase RelA
V1032638	Translation initiation factor IF-2
V1032990	Lipid A export ATP-binding/permease protein MsbA
V1033347	Phosphoglycerol transferase%2C alkaline phosphatase superfamily
V1880001	Restriction enzyme BgcI subunit alpha
V1755580	L-2-hydroxyisocaproate dehydrogenase
V1890912	Dipeptidase A
V1684155	DNA-directed RNA polymerase subunit beta
V1033667	S-adenosylmethionine synthase
V1032940	AtlE
V1047198	Carbamoyl-phosphate synthase large chain
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033322	Surface layer protein
V1032493	ABC-type uncharacterized transport system%2C periplasmic component
V1796839	Citrate lyase alpha chain
V1684120	Foldase protein PrsA precursor
V1828822	Oleate hydratase
V1032693	Oligoendopeptidase F%2C plasmid
V1796925	Xylulose kinase
V1552781	DNA polymerase III PolC-type
V1032606	acidobacterial duplicated orphan permease
V1883274	Acetate kinase
V1032670	putative transcriptional regulatory protein
V1047177	Maltose phosphorylase
V1032374	D-alanine--poly(phosphoribitol) ligase subunit 1
V1032318	MutS2 protein
V1032208	Hemerythrin HHE cation binding domain protein
V1338859	MucBP domain protein
V1032601	PTS system maltose-specific EIICB component
V1101424	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
V1552755	Lipoteichoic acid synthase 1
V1032409	deoxyguanosinetriphosphate triphosphohydrolase-like protein
V1032567	Ammonia transporter
V1684156	Lysine--tRNA ligase
V1163624	ATP-dependent Clp protease ATP-binding subunit ClpE
V1204806	Inner membrane transport protein YbaT
V1034221	Phosphoglucomutase
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1032588	putative ABC transporter ATP-binding protein
V1034256	DNA topoisomerase 4 subunit B
V1101399	Inosine-5'-monophosphate dehydrogenase
V1032888	ComEC family competence protein
V1047236	ATP-dependent Clp protease ATP-binding subunit ClpE
V1032517	DNA polymerase III subunit gamma/tau
V1033414	Adenylosuccinate lyase
V1032739	putative ABC transporter ATP-binding protein
V1032307	EIIBCA-Bgl
V1872675	Helix-turn-helix
V1872764	hypothetical protein
V1032230	Arginine transport ATP-binding protein ArtM
V1032589	Lipid A export ATP-binding/permease protein MsbA
V1033078	DNA polymerase III subunit alpha
V1202272	Transposase DDE domain protein
V1684180	hypothetical protein
V1033170	3-hydroxy-3-methylglutaryl-coenzyme A reductase
V1684165	Inner membrane amino-acid ABC transporter permease protein YecS
V1032211	D-aspartate ligase
V1150375	Integrase
V1033202	hypothetical protein
V1032225	YibE/F-like protein
V1032486	Glutamate/gamma-aminobutyrate antiporter
V1206514	Ribose-phosphate pyrophosphokinase
V1101394	Multidrug-efflux transporter 3
V1032825	preprotein translocase subunit SecY
V1101466	Restriction enzyme BgcI subunit alpha
V1684175	D-alanyl-lipoteichoic acid biosynthesis protein DltB
V1032468	Ribosome-binding ATPase YchF
V1034282	PTS system EIIBC component
V1684147	putative sensor histidine kinase TcrY
V1033054	Autoinducer 2 import system permease protein LsrC
