gene	geneProduct
V1034175	Cyclodextrin-binding protein precursor
V1015704	Formate acetyltransferase 1
V1301930	50S ribosomal protein L7/L12
V1486976	hypothetical protein
V1040547	Putative amidase domain protein
V1436495	co-chaperonin GroES
V1013253	Elongation factor Tu
V1391890	hypothetical protein
V1141371	hypothetical protein
V1009516	Enolase
V1265517	Trehalose import ATP-binding protein SugC
V1120164	Elongation factor G
V1596952	hypothetical protein
V1724279	maltose ABC transporter periplasmic protein
V1110017	hypothetical protein
V1036379	1%2C4-alpha-glucan branching enzyme GlgB
V1011906	Heat shock protein 70
V1723757	50S ribosomal protein L21
V1728061	30S ribosomal protein S2
V1167759	Pyruvate kinase
V1687741	Maltodextrin-binding protein
V1140472	50S ribosomal protein L11
V1345236	DNA-binding protein HB1
V1032287	hypothetical protein
V1723955	Chaperone protein ClpB
V1013092	Formate acetyltransferase
V1413731	Ketobutyrate formate-lyase
V1031976	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1409431	30S ribosomal protein S4
V1334911	30S ribosomal protein S2
V1049457	Chaperone protein ClpB 1
V1143274	gram-positive signal peptide%2C YSIRK family
V1239069	Helix-destabilizing protein
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1032135	Stress protein H5
V1513865	hypothetical protein
V1032240	1%2C4-alpha-glucan branching enzyme GlgB
V1464571	Elongation factor Tu-B
V1013090	Fructose-bisphosphate aldolase
V1038301	Chaperone protein ClpB
V1203949	Pyridoxamine 5'-phosphate oxidase
V1011230	Alkyl hydroperoxide reductase subunit C
V1086654	F-ATPase subunit 6
V1003154	F-type ATPase subunit b
V1053544	hypothetical protein
V1012496	Stress protein H5
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1032109	Trehalose import ATP-binding protein SugC
V1000122	Elongation factor Tu
V1123844	cell division protein GpsB
V1723592	30S ribosomal protein S16
V1032263	F-ATPase gamma subunit
V1436832	Enolase
V1032060	Transaldolase
V1267525	hypothetical protein
V1020162	50S ribosomal protein L29
V1031979	Dark-response protein 21
V1604018	50S ribosomal protein L2
V1010633	Fimbrial subunit type 1 precursor
V1394803	Heat shock protein 70
V1009641	DNA-directed RNA polymerase subunit omega
V1431607	50S ribosomal protein L21
V1032264	ATP synthase subunit beta
V1000546	Maltose/maltodextrin-binding protein precursor
V1055790	Heat shock protein 70
V1037047	Trigger factor
V1365642	30S ribosomal protein S8
V1723469	50S ribosomal protein L5
V1000642	Enolase
V1032873	DNA-directed RNA polymerase subunit beta'
V1429840	Heat shock protein 70
V1555046	Translation initiation factor IF-1
V1011087	Heat shock protein 70
V1554020	Cyclodextrin-binding protein precursor
V1047883	RlpA-like protein precursor
V1049455	ATP-dependent Clp protease ATP-binding subunit ClpC
V1246962	50S ribosomal protein L16
V1723441	Curved DNA-binding protein
V1178410	50S ribosomal protein L6
V1348573	30S ribosomal protein S5
V1036253	Cell division protein FtsZ
V1031948	Cell division protein FtsZ
V1144953	hypothetical protein
V1806797	putative ABC transporter ATP-binding protein YheS
V1265596	F-type ATPase subunit b
V1103660	Formate acetyltransferase
V1315998	hypothetical protein
V1291721	Pyrimidine-specific ribonucleoside hydrolase RihA
V1151601	Glyceraldehyde-3-phosphate dehydrogenase
V1038323	Maltose transport system permease protein MalG
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1752456	putative ABC transporter ATP-binding protein YheS
V1483461	HSP-70 cofactor
V1198623	DNA-directed RNA polymerase subunit beta'
V1614119	hypothetical protein
V1032026	Long-chain-fatty-acid--CoA ligase FadD15
V1000549	Maltose phosphorylase
V1074835	hypothetical protein
V1037207	putative phage-associated protein
V1032053	Alkyl hydroperoxide reductase subunit C
V1145336	HSP-70 cofactor
V1075934	50S ribosomal protein L10
V1010072	Outer membrane porin F precursor
V1020161	hypothetical protein
V1000545	Maltose transport system permease protein MalF
V1265496	Fimbrial subunit type 1 precursor
V1339929	L-lactate dehydrogenase
V1034170	30S ribosomal protein S13
V1016652	F-ATPase gamma subunit
V1177407	Elongation factor G
V1723588	Elongation factor Ts
V1687687	hypothetical protein
V1267333	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW precursor
V1019461	ATP synthase subunit beta
V1020263	DivIVA domain repeat protein
V1000004	DNA-directed RNA polymerase subunit alpha
V1108326	Maltodextrin phosphorylase
V1000943	50S ribosomal protein L11
V1549263	Heat shock protein 70
V1395943	nitroreductase A
V1386117	Elongation factor Ts
V1006096	hypothetical protein
V1583760	ATP synthase subunit alpha
V1081160	Oxoglutarate dehydrogenase inhibitor
V1013966	Pyridoxamine 5'-phosphate oxidase
V1037079	Putative HMP/thiamine permease protein YkoE
V1000116	Pyruvate kinase
V1007262	R3H domain protein
V1870028	C protein alpha-antigen precursor
V1057791	cell division protein GpsB
V1527021	Pyruvate kinase
V1020633	R3H domain protein
V1556871	hypothetical protein
V1036212	Maltose transport system permease protein MalF
V1032070	Maltodextrin phosphorylase
V1267291	Rib/alpha-like repeat
V1000487	Fructose-bisphosphate aldolase
V1001368	EIIAB-Man
V1836823	hypothetical protein
V1032253	Translation initiation factor IF-3
V1007273	sortase
V1190614	D-proline reductase proprotein PrdA
V1232230	Maltose transport system permease protein MalF
V1724908	C protein alpha-antigen precursor
V1200468	hypothetical protein
V1301559	hypothetical protein
V1011667	hypothetical protein
V1870024	repeat
V1314716	Ketobutyrate formate-lyase
V1031961	Universal stress protein/MSMEI_3859
V1073967	50S ribosomal protein L10
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1011088	Chaperone protein DnaJ
V1043574	hypothetical protein
V1000527	Vegetative protein 19
V1554160	50S ribosomal protein L6
V1141483	Glyceraldehyde-3-phosphate dehydrogenase
V1070026	Chaperone protein ClpB 1
V1386205	HSP-70 cofactor
V1036976	Anaerobic ribonucleoside-triphosphate reductase
V1031971	DNA polymerase I
V1724899	Chaperone protein ClpB
V1032104	Putative amidase domain protein
V1032456	50S ribosomal protein L13
V1032134	putative ATP-dependent Clp protease ATP-binding subunit
V1038361	Elongation factor Tu
V1012313	Bifunctional (p)ppGpp synthase/hydrolase relA
V1104365	Phosphomethylpyrimidine synthase
V1114216	Aldehyde-alcohol dehydrogenase
V1075368	hypothetical protein
V1032365	Glucose-6-phosphate isomerase
V1382261	RlpA-like protein precursor
V1033039	Maltose-binding periplasmic proteins/domains
V1032284	hypothetical protein
