gene	geneProduct
V1422497	hypothetical protein
V1145030	hypothetical protein
V1301930	50S ribosomal protein L7/L12
V1596952	hypothetical protein
V1037868	hypothetical protein
V1167012	hypothetical protein
V1334911	30S ribosomal protein S2
V1009516	Enolase
V1013253	Elongation factor Tu
V1181936	Formate acetyltransferase
V1687687	hypothetical protein
V1015704	Formate acetyltransferase 1
V1036379	1%2C4-alpha-glucan branching enzyme GlgB
V1265517	Trehalose import ATP-binding protein SugC
V1239069	Helix-destabilizing protein
V1103535	hypothetical protein
V1409431	30S ribosomal protein S4
V1010633	Fimbrial subunit type 1 precursor
V1140472	50S ribosomal protein L11
V1013919	hypothetical protein
V1555046	Translation initiation factor IF-1
V1036976	Anaerobic ribonucleoside-triphosphate reductase
V1032060	Transaldolase
V1123844	cell division protein GpsB
V1230019	hypothetical protein
V1154487	hypothetical protein
V1167759	Pyruvate kinase
V1037443	hypothetical protein
V1108326	Maltodextrin phosphorylase
V1051284	Phosphocarrier protein HPr
V1723757	50S ribosomal protein L21
V1011230	Alkyl hydroperoxide reductase subunit C
V1267672	hypothetical protein
V1386117	Elongation factor Ts
V1007249	F5/8 type C domain protein
V1687741	Maltodextrin-binding protein
V1017823	Desulfoferrodoxin
V1007262	R3H domain protein
V1103096	hypothetical protein
V1015967	Putative HMP/thiamine permease protein YkoE
V1167633	NADH dehydrogenase
V1036253	Cell division protein FtsZ
V1038310	putative distant relative of cell wall-associated hydrolases
V1009071	Pullulanase precursor
V1003154	F-type ATPase subunit b
V1006096	hypothetical protein
V1038020	hypothetical protein
V1007273	sortase
V1436495	co-chaperonin GroES
V1037355	G5 domain protein
V1409436	Serine/threonine-protein kinase PknB
V1038323	Maltose transport system permease protein MalG
V1724122	30S ribosomal protein S15
V1687756	preprotein translocase subunit SecY
V1011667	hypothetical protein
V1013250	Cold shock protein CspC
V1171839	Fimbrial subunit type 1 precursor
V1301559	hypothetical protein
V1198623	DNA-directed RNA polymerase subunit beta'
V1012497	putative sensor histidine kinase TcrY
V1806797	putative ABC transporter ATP-binding protein YheS
V1687738	Leucine--tRNA ligase
V1102799	Oligopeptide-binding protein AmiA precursor
V1265314	Elongation factor Tu
V1619477	Superoxide dismutase [Mn/Fe]
