Gene	KEGG_pathwayID	Annotation
V1394389	map02030	Bacterial chemotaxis
V1337358	map04621	NOD-like receptor signaling pathway
V1266177	map02010	ABC transporters
V1436641	map00650	Butanoate metabolism
V1015704	map00650	Butanoate metabolism
V1239646	map03010	Ribosome
V1038361	map04626	Plant-pathogen interaction
V1265517	map02010	ABC transporters
V1168094	map03010	Ribosome
V1036256	map02010	ABC transporters
V1884207	map02010	ABC transporters
V1013253	map04626	Plant-pathogen interaction
V1267333	map02010	ABC transporters
V1195096	map03010	Ribosome
V1037518	map03010	Ribosome
V1009516	map03018	RNA degradation
V1383824	map02010	ABC transporters
V1806808	map00710	Carbon fixation in photosynthetic organisms
V1301930	map03010	Ribosome
V1366835	map03010	Ribosome
V1239069	map03440	Homologous recombination
V1364027	map02010	ABC transporters
V1362785	map02010	ABC transporters
V1484064	map02030	Bacterial chemotaxis
V1687741	map02010	ABC transporters
V1436794	map02030	Bacterial chemotaxis
V1334911	map03010	Ribosome
V1302192	map02010	ABC transporters
V1036379	map00500	Starch and sucrose metabolism
V1384044	map02030	Bacterial chemotaxis
V1458477	map03010	Ribosome
V1409431	map03010	Ribosome
V1196712	map02010	ABC transporters
V1036227	map02010	ABC transporters
V1464571	map04626	Plant-pathogen interaction
V1198668	map00710	Carbon fixation in photosynthetic organisms
V1006055	map04621	NOD-like receptor signaling pathway
V1070888	map04621	NOD-like receptor signaling pathway
V1200931	map03010	Ribosome
V1440555	map00195	Photosynthesis
V1265052	map03018	RNA degradation
V1526141	map00970	Aminoacyl-tRNA biosynthesis
V1081232	map00650	Butanoate metabolism
V1006125	map03018	RNA degradation
V1000639	map05010	Alzheimer's disease
V1501533	map03010	Ribosome
V1395005	map00195	Photosynthesis
V1038252	map00195	Photosynthesis
V1145315	map03020	RNA polymerase
V1154539	map05010	Alzheimer's disease
V1000122	map04626	Plant-pathogen interaction
V1185257	map05010	Alzheimer's disease
V1167759	map04930	Type II diabetes mellitus
V1006110	map03010	Ribosome
V1723592	map03010	Ribosome
V1237384	map00520	Amino sugar and nucleotide sugar metabolism
V1172076	map02010	ABC transporters
V1000546	map02030	Bacterial chemotaxis
V1036261	map02010	ABC transporters
V1370810	map03010	Ribosome
V1037884	map03010	Ribosome
V1234581	map03010	Ribosome
V1806795	map05010	Alzheimer's disease
V1031976	map00710	Carbon fixation in photosynthetic organisms
V1705007	map03070	Bacterial secretion system
V1354174	map03010	Ribosome
V1036253	map04112	Cell cycle - Caulobacter
V1237403	map00030	Pentose phosphate pathway
V1553878	map00500	Starch and sucrose metabolism
V1162256	map03010	Ribosome
V1368901	map02030	Bacterial chemotaxis
V1704984	map00730	Thiamine metabolism
V1032287	map03010	Ribosome
V1158372	map00195	Photosynthesis
V1000549	map00500	Starch and sucrose metabolism
V1160714	map03010	Ribosome
V1419972	map04621	NOD-like receptor signaling pathway
V1068939	map00500	Starch and sucrose metabolism
V1348573	map03010	Ribosome
V1362787	map03010	Ribosome
V1000545	map02010	ABC transporters
V1099394	map02010	ABC transporters
V1036259	map00500	Starch and sucrose metabolism
V1318362	map03010	Ribosome
V1577228	map05152	Tuberculosis
V1237481	map00970	Aminoacyl-tRNA biosynthesis
V1403747	map00624	Polycyclic aromatic hydrocarbon degradation
V1239564	map00240	Pyrimidine metabolism
V1370956	map02010	ABC transporters
V1002465	map04626	Plant-pathogen interaction
V1035843	map03010	Ribosome
V1337573	map04621	NOD-like receptor signaling pathway
V1139904	map00982	Drug metabolism - cytochrome P450
V1554020	map02030	Bacterial chemotaxis
V1528357	map00650	Butanoate metabolism
V1239818	map00520	Amino sugar and nucleotide sugar metabolism
V1239604	map03020	RNA polymerase
V1037423	map00195	Photosynthesis
V1484175	map00970	Aminoacyl-tRNA biosynthesis
V1000004	map03020	RNA polymerase
V1140472	map03010	Ribosome
V1445176	map00710	Carbon fixation in photosynthetic organisms
V1617969	map03010	Ribosome
V1038323	map02010	ABC transporters
V1032060	map00030	Pentose phosphate pathway
V1347762	map03010	Ribosome
V1020162	map03010	Ribosome
V1013641	map02010	ABC transporters
V1020161	map03010	Ribosome
V1368877	map02030	Bacterial chemotaxis
