Gene	category	Annotation	COGID
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1034630	P	DNA protection during starvation protein	COG0783
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1000549	G	hydrolase family 65, central catalytic	COG1554
V1000546	G	(ABC) transporter	COG2182
V1339929	C	L-lactate dehydrogenase	COG0039
V1000886	G	ABC transporter	COG1653
V1073967	J	50s ribosomal protein L10	COG0244
V1000487	G	Aldolase	COG0191
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1358422	J	ribosomal subunit Interface protein	COG1544
V1000080	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1000545	P	permease protein	COG1175
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1000305	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1000116	G	Pyruvate kinase	COG3848
V1481435	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1000944	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)	COG0081
V1000836	J	50s ribosomal protein l31 type b	COG0254
