gene	geneProduct
V1872766	Ribonucleoside-diphosphate reductase subunit alpha 2
V1694047	hypothetical protein
V1204502	Anaerobic ribonucleoside-triphosphate reductase
V1338863	Pyruvate kinase
V1033079	6-phosphofructokinase
V1033549	Enolase
V1034259	Elongation factor Tu
V1150427	Fructose-bisphosphate aldolase
V1366240	Surface layer protein
V1162957	Surface layer protein
V1806611	D-lactate dehydrogenase
V1033821	hypothetical protein
V1033558	Phosphoglycerate kinase
V1032210	anaerobic ribonucleotide reductase-activating protein
V1033629	Heat shock protein 70
V1033097	Carbamoyl-phosphate synthase large chain
V1047042	Surface layer protein
V1032620	Ribonucleoside-diphosphate reductase 2 subunit beta
V1216924	Ribonucleoside-diphosphate reductase 2 subunit beta
V1033003	Phosphoenolpyruvate-protein phosphotransferase
V1033120	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
V1032670	putative transcriptional regulatory protein
V1872734	50S ribosomal protein L11
V1033464	Glutamine synthetase
V1032341	F-ATPase epsilon subunit
V1885172	ATP synthase subunit alpha
V1033096	DNA-directed RNA polymerase subunit alpha
V1684120	Foldase protein PrsA precursor
V1033682	putative L-ascorbate-6-phosphate lactonase UlaG
V1047240	Ascorbate-specific PTS system EIIC component
V1887290	Translation initiation factor IF-3
V1887313	30S ribosomal protein S6
V1033091	50S ribosomal protein L13
V1033428	EIIAB-Man
V1032309	Stress protein H5
V1883114	SigL modulation protein
V1033129	Phosphoenolpyruvate-protein phosphotransferase
V1032342	ATP synthase subunit beta
V1034213	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1032631	Cyclodextrin-binding protein precursor
V1032750	Vegetative protein 209
V1608729	Surface layer protein
V1033306	Trigger factor
V1047208	Elongation factor G
V1806595	Ascorbate-specific phosphotransferase enzyme IIA component
V1032333	30S ribosomal protein S4
V1046993	F-type ATPase subunit b
V1032751	Elongation factor Ts
V1148992	MerR family regulatory protein
V1032681	L-lactate dehydrogenase
V1204587	Minicell-associated protein DivIVA
V1047264	DNA protection during starvation protein
V1032715	Glutamate--tRNA ligase
V1204335	PPOX class probable F420-dependent enzyme%2C family
V1552800	30S ribosomal protein S1
V1046995	F-ATPase gamma subunit
V1338876	NADH peroxidase
V1047291	hypothetical protein
V1032513	50S ribosomal protein L10
V1149190	hypothetical protein
V1033261	hypothetical protein
V1882158	hypothetical protein
V1047177	Maltose phosphorylase
V1034296	Pyruvate oxidase
V1047061	Threonine--tRNA ligase
V1884418	Bacterial Ig-like domain (group 3)
V1163652	ATP-dependent zinc metalloprotease FtsH
V1032527	t(6)A37 threonylcarbamoyladenosine biosynthesis protein
V1101430	Bacterial Ig-like domain (group 3)
V1033740	Central glycolytic genes regulator
V1884691	Surface layer protein
V1033133	Ribosomal RNA small subunit methyltransferase H
V1880007	Surface layer protein
V1032763	Surface layer protein
V1033559	Triosephosphate isomerase
V1143661	Ribonuclease Y
V1002229	Transposase DDE domain protein
V1047181	Multiple sugar-binding protein precursor
V1808084	hypothetical protein
V1046991	F-ATPase subunit 6
V1034179	Glyceraldehyde-3-phosphate dehydrogenase
V1033346	Valine--tRNA ligase
V1552772	Pyruvate kinase
