Gene	KEGG_module_number	Annotation
V1301930	M00178	Ribosome, bacteria
V1334911	M00179	Ribosome, archaea
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1384044	M00197	Putative fructooligosaccharide transport system
V1265517	M00206	Cellobiose transport system
V1409431	M00179	Ribosome, archaea
V1140472	M00179	Ribosome, archaea
V1036976	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032060	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
V1302192	M00206	Cellobiose transport system
V1167759	M00002	Glycolysis, core module involving three-carbon compounds
V1723757	M00178	Ribosome, bacteria
V1687741	M00197	Putative fructooligosaccharide transport system
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1301690	M00178	Ribosome, bacteria
V1003154	M00164	ATP synthase
V1038323	M00197	Putative fructooligosaccharide transport system
V1724122	M00179	Ribosome, archaea
V1687756	M00335	Sec (secretion) system
V1011667	M00178	Ribosome, bacteria
V1301559	M00178	Ribosome, bacteria
V1198623	M00183	RNA polymerase, bacteria
V1687738	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1102799	M00239	Peptides/nickel transport system
V1015427	M00374	Dicarboxylate-hydroxybutyrate cycle
V1009625	M00335	Sec (secretion) system
V1265160	M00335	Sec (secretion) system
V1035957	M00197	Putative fructooligosaccharide transport system
V1723592	M00178	Ribosome, bacteria
V1036882	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1498789	M00178	Ribosome, bacteria
V1103115	M00197	Putative fructooligosaccharide transport system
V1012542	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1020161	M00179	Ribosome, archaea
V1036212	M00197	Putative fructooligosaccharide transport system
V1175472	M00335	Sec (secretion) system
V1234581	M00178	Ribosome, bacteria
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1126877	M00276	PTS system, mannose-specific II component
V1009745	M00236	Putative polar amino acid transport system
V1019461	M00164	ATP synthase
V1464526	M00239	Peptides/nickel transport system
V1465337	M00197	Putative fructooligosaccharide transport system
V1383863	M00178	Ribosome, bacteria
V1020434	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1139685	M00178	Ribosome, bacteria
V1368877	M00197	Putative fructooligosaccharide transport system
V1036755	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1483059	M00246	Nickel transport system
V1348573	M00179	Ribosome, archaea
V1298130	M00178	Ribosome, bacteria
V1554020	M00197	Putative fructooligosaccharide transport system
V1185257	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1036333	M00239	Peptides/nickel transport system
V1009679	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1104057	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1009594	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
V1016652	M00164	ATP synthase
V1301614	M00179	Ribosome, archaea
V1042435	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1430683	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1019516	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1482934	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
V1141462	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1181469	M00346	Formaldehyde assimilation, serine pathway
V1036497	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1436794	M00197	Putative fructooligosaccharide transport system
V1102328	M00179	Ribosome, archaea
V1604018	M00179	Ribosome, archaea
V1086654	M00164	ATP synthase
V1724685	M00197	Putative fructooligosaccharide transport system
V1036001	M00164	ATP synthase
V1445404	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1032287	M00178	Ribosome, bacteria
V1554285	M00179	Ribosome, archaea
V1554160	M00179	Ribosome, archaea
V1139691	M00335	Sec (secretion) system
V1265596	M00164	ATP synthase
V1881401	M00164	ATP synthase
V1430373	M00178	Ribosome, bacteria
V1036477	M00183	RNA polymerase, bacteria
V1020102	M00183	RNA polymerase, bacteria
V1265566	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1037309	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
V1137315	M00197	Putative fructooligosaccharide transport system
V1012446	M00179	Ribosome, archaea
V1181512	M00179	Ribosome, archaea
V1239784	M00178	Ribosome, bacteria
V1036861	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1723469	M00179	Ribosome, archaea
V1036210	M00207	Putative multiple sugar transport system
V1239122	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1151601	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1010955	M00086	beta-Oxidation, acyl-CoA synthesis
V1139669	M00190	Iron(III) transport system
V1498668	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1036735	M00183	RNA polymerase, bacteria
V1459473	M00335	Sec (secretion) system
V1075934	M00179	Ribosome, archaea
V1014775	M00178	Ribosome, bacteria
V1723089	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
V1883469	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1266020	M00335	Sec (secretion) system
V1054279	M00239	Peptides/nickel transport system
V1017600	M00179	Ribosome, archaea
V1020162	M00179	Ribosome, archaea
V1246962	M00178	Ribosome, bacteria
V1597704	M00178	Ribosome, bacteria
V1440538	M00258	Putative ABC transport system
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1013352	M00216	Multiple sugar transport system
V1104271	M00083	Fatty acid biosynthesis, elongation
V1172048	M00197	Putative fructooligosaccharide transport system
V1619237	M00179	Ribosome, archaea
V1554270	M00179	Ribosome, archaea
V1013189	M00260	DNA polymerase III complex, bacteria
V1023795	M00178	Ribosome, bacteria
V1883563	M00258	Putative ABC transport system
V1052463	M00216	Multiple sugar transport system
V1176644	M00178	Ribosome, bacteria
V1013684	M00207	Putative multiple sugar transport system
V1383974	M00178	Ribosome, bacteria
V1013685	M00207	Putative multiple sugar transport system
V1883636	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1141223	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1014914	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1013000	M00212	Ribose transport system
V1365642	M00179	Ribosome, archaea
V1034170	M00179	Ribosome, archaea
V1705132	M00083	Fatty acid biosynthesis, elongation
V1013972	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1367251	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1724150	M00178	Ribosome, bacteria
V1009518	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
V1723096	M00244	Putative zinc/manganese transport system
V1885649	M00178	Ribosome, bacteria
V1007247	M00207	Putative multiple sugar transport system
V1687721	M00207	Putative multiple sugar transport system
V1009637	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1139266	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1267333	M00239	Peptides/nickel transport system
V1011153	M00086	beta-Oxidation, acyl-CoA synthesis
V1409950	M00248	Antibiotic transport system
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1376603	M00179	Ribosome, archaea
V1395005	M00164	ATP synthase
V1042452	M00178	Ribosome, bacteria
V1106704	M00179	Ribosome, archaea
V1403101	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1163160	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1107390	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1009641	M00183	RNA polymerase, bacteria
V1038424	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1042141	M00179	Ribosome, archaea
V1012312	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1141150	M00346	Formaldehyde assimilation, serine pathway
V1052203	M00335	Sec (secretion) system
V1041482	M00179	Ribosome, archaea
V1086412	M00239	Peptides/nickel transport system
V1010963	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
V1365775	M00197	Putative fructooligosaccharide transport system
V1013881	M00002	Glycolysis, core module involving three-carbon compounds
V1106693	M00319	Manganese/zinc/iron transport system
V1009515	M00188	NitT/TauT family transport system
V1011374	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1074319	M00197	Putative fructooligosaccharide transport system
V1021626	M00233	Glutamate transport system
V1197037	M00178	Ribosome, bacteria
V1010393	M00346	Formaldehyde assimilation, serine pathway
V1513969	M00258	Putative ABC transport system
V1009076	M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
V1265195	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1108928	M00164	ATP synthase
V1015255	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1883760	M00183	RNA polymerase, bacteria
V1018398	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1011660	M00183	RNA polymerase, bacteria
V1009680	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
V1013667	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1039373	M00335	Sec (secretion) system
V1039888	M00183	RNA polymerase, bacteria
V1482530	M00178	Ribosome, bacteria
V1009690	M00079	Keratan sulfate degradation
V1041401	M00346	Formaldehyde assimilation, serine pathway
V1009738	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
V1301798	M00178	Ribosome, bacteria
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1009512	M00188	NitT/TauT family transport system
V1012447	M00179	Ribosome, archaea
V1391839	M00207	Putative multiple sugar transport system
V1014547	M00178	Ribosome, bacteria
V1040497	M00179	Ribosome, archaea
V1445347	M00183	RNA polymerase, bacteria
V1140670	M00164	ATP synthase
V1553805	M00260	DNA polymerase III complex, bacteria
V1445299	M00239	Peptides/nickel transport system
V1834880	M00207	Putative multiple sugar transport system
V1006125	M00346	Formaldehyde assimilation, serine pathway
V1016547	M00179	Ribosome, archaea
V1183570	M00164	ATP synthase
V1009254	M00083	Fatty acid biosynthesis, elongation
V1013907	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1574725	M00164	ATP synthase
V1489453	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1012187	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1301557	M00242	Zinc transport system
V1036641	M00242	Zinc transport system
V1012641	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1036000	M00164	ATP synthase
V1687733	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1036623	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
V1019613	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1096558	M00178	Ribosome, bacteria
V1018177	M00179	Ribosome, archaea
V1347762	M00178	Ribosome, bacteria
V1040850	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1035952	M00197	Putative fructooligosaccharide transport system
V1182165	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1050631	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1006235	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
