Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1034630	; DPS	; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain			; DNA-binding protein Dps; DNA-binding protein Dps, conserved site; Ferritin-like superfamily; Ferritin-related; Ferritin/DPS protein domain		; (Full/Desc.) ferritin-like protein, Dps type	; Helicobacter neutrophil-activating protein A family signature	; Ferritin-like domain		; Dps protein family signature 1.				; Ferritin-like	
V1143274		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1423289												; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain
V1836803		; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide			; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Bacterial surface layer protein; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1000639		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain	; NAD(P)-binding Rossmann-like Domain; Dihydrodipicolinate Reductase; domain 2		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain		; (Full) glyceraldehyde-3-phosphate dehydrogenase	; Glyceraldehyde-3-phosphate dehydrogenase signature	; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain					; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	; NAD(P)-binding Rossmann-fold domains; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	;  glyceraldehyde-3-phosphate dehydrogenase, type I
V1464571	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Cytochrome Bc1 Complex; Chain A; P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2; Insulinase (Peptidase family M16)		; Insulinase family, zinc-binding region signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; LuxS/MPP-like metallohydrolase; P-loop containing nucleoside triphosphate hydrolases; Translation proteins; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain	;  translation elongation factor Tu
V1882989		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1000122	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Translation factors; P-loop containing nucleotide triphosphate hydrolases	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor Tu;  small GTP-binding protein domain
V1577228	; HSPA9-Ssq1-like_NBD	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain	; Actin; Chain A; Substrate Binding Domain Of DNAk; Chain A	; Chaperone protein DnaK [dnaK].	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain			; 70kDa heat shock protein signature	; Hsp70 protein		; Heat shock hsp70 proteins family signature 1.; Heat shock hsp70 proteins family signature 2.; Heat shock hsp70 proteins family signature 3.				; Heat shock protein 70kD (HSP70), peptide-binding domain; Actin-like ATPase domain; Actin-like ATPase domain; Heat shock protein 70kD (HSP70), C-terminal subdomain	;  chaperone protein DnaK
V1310212		; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide			; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Bacterial surface layer protein; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1016072		; Replication gene A protein			; Replication gene A protein				; Bacteriophage replication gene A protein (GPA)	; A GPA METAL-BINDING DNA-BINDING ENDONUCLEASE ZINC-FINGER ZINC HYDROLASE NUCLEASE INITIATION						
V1886719		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1000642	; enolase	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site	; Enolase superfamily; Enolase-like	; Enolase [eno].	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site		; (Full) enolase	; Enolase signature	; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal domain		; Enolase signature.		; Enolase	; Enolase, N-terminal domain ; Enolase, C-terminal TIM barrel domain 	; Enolase N-terminal domain-like; Enolase C-terminal domain-like	;  phosphopyruvate hydratase
V1503141		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide			; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain;  gram-positive signal peptide, YSIRK family
V1000638		; Sugar-binding domain, putative; Winged helix-turn-helix DNA-binding domain	; winged helix repressor DNA binding domain		; Sugar-binding domain, putative; Winged helix-turn-helix DNA-binding domain				; Putative sugar-binding domain						; Winged helix DNA-binding domain; NagB/RpiA/CoA transferase-like	
V1872766	; RNR_I	; Ribonucleotide reductase N-terminal; Ribonucleotide reductase R1 subunit, N-terminal; Ribonucleotide reductase large subunit, C-terminal; Ribonucleotide reductase large subunit, N-terminal; Ribonucleotide reductase, class 1b, subunit NrdE; Ribonucleotide reductase, class I , alpha subunit			; Ribonucleotide reductase N-terminal; Ribonucleotide reductase R1 subunit, N-terminal; Ribonucleotide reductase large subunit, C-terminal; Ribonucleotide reductase large subunit, N-terminal; Ribonucleotide reductase, class 1b, subunit NrdE; Ribonucleotide reductase, class I , alpha subunit			; Ribonucleotide reductase large chain signature	; Ribonucleotide reductase N-terminal; Ribonucleotide reductase, all-alpha domain; Ribonucleotide reductase, barrel domain		; Ribonucleotide reductase large subunit signature.				; PFL-like glycyl radical enzymes; R1 subunit of ribonucleotide reductase, N-terminal domain	;  ribonucleoside-diphosphate reductase, alpha subunit;  ribonucleoside-diphosphate reductase, class 1b, alpha subunit
V1851961	; AAA	; AAA+ ATPase domain; ATPase, AAA-type, core; Clp ATPase, C-terminal; ClpA/B family; ClpA/B, conserved site 1; ClpA/B, conserved site 2; P-loop containing nucleoside triphosphate hydrolase; UVR domain	; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases		; AAA+ ATPase domain; ATPase, AAA-type, core; Clp ATPase, C-terminal; ClpA/B family; ClpA/B, conserved site 1; ClpA/B, conserved site 2; P-loop containing nucleoside triphosphate hydrolase; UVR domain	; consensus disorder prediction		; ATP-dependent Clp protease ATP-binding subunit signature	; AAA domain (Cdc48 subfamily); ATPase family associated with various cellular activities (AAA); C-terminal, D2-small domain, of ClpB protein; UvrB/uvrC motif		; Chaperonins clpA/B signature 1.; Chaperonins clpA/B signature 2.	; UVR domain profile.		; C-terminal, D2-small domain, of ClpB protein; ATPases associated with a variety of cellular activities; ATPases associated with a variety of cellular activities	; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases	
V1136203		; Gcp-like domain; Kae1/TsaD family; tRNA N6-adenosine threonylcarbamoyltransferase, TsaD		; tRNA N6-adenosine threonylcarbamoyltransferase [tsaD].	; Gcp-like domain; Kae1/TsaD family; tRNA N6-adenosine threonylcarbamoyltransferase, TsaD			; O-sialoglycoprotein endopeptidase (M22) metallo-protease family signature	; Glycoprotease family						; Actin-like ATPase domain; Actin-like ATPase domain	;  tRNA threonylcarbamoyl adenosine modification protein TsaD;  metallohydrolase, glycoprotease/Kae1 family
V1339799		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide				; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1016074		; Capsid/spike protein, ssDNA virus; Microviridae F protein	; Bacteriophage G4 Capsid Proteins Gpf		; Capsid/spike protein, ssDNA virus; Microviridae F protein				; Capsid protein (F protein)						; ssDNA viruses	
V1203355	; DnaJ; DnaJ_C; DnaJ_zf	; Chaperone DnaJ; Chaperone DnaJ, C-terminal; DnaJ domain; DnaJ domain, conserved site; HSP40/DnaJ peptide-binding; Heat shock protein DnaJ, cysteine-rich domain	; DnaJ/Hsp40 cysteine-rich domain; Urease metallochaperone UreE; Urease metallochaperone UreE; Urease metallochaperone UreE	; Chaperone protein DnaJ [dnaJ].	; Chaperone DnaJ; Chaperone DnaJ, C-terminal; DnaJ domain; DnaJ domain, conserved site; HSP40/DnaJ peptide-binding; Heat shock protein DnaJ, cysteine-rich domain			; DnaJ domain signature	; DnaJ C terminal domain; DnaJ central domain; DnaJ domain		; Nt-dnaJ domain signature.	; Zinc finger CR-type profile.; dnaJ domain profile.		; DnaJ molecular chaperone homology domain	; HSP40/DnaJ peptide-binding domain; Chaperone J-domain; HSP40/DnaJ peptide-binding domain; HSP40/DnaJ peptide-binding domain; DnaJ/Hsp40 cysteine-rich domain	;  chaperone protein DnaJ
V1000534	; HP_PGM_like	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site	; Phosphoglycerate mutase-like	; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA].	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site				; Histidine phosphatase superfamily (branch 1)		; Phosphoglycerate mutase family phosphohistidine signature.			; Phosphoglycerate mutase family	; Phosphoglycerate mutase-like	;  phosphoglycerate mutase 1 family
V1339929	; HicDH_like	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain	; L-2-Hydroxyisocaproate Dehydrogenase; NAD(P)-binding Rossmann-like Domain	; L-lactate dehydrogenase [ldh].	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain		; (Full) L-lactate/malate dehydrogenase	; L-lactate dehydrogenase signature	; lactate/malate dehydrogenase, NAD binding domain; lactate/malate dehydrogenase, alpha/beta C-terminal domain		; L-lactate dehydrogenase active site.				; NAD(P)-binding Rossmann-fold domains; LDH C-terminal domain-like	;  L-lactate dehydrogenase
V1136222	; ACD_LpsHSP_like	; Alpha crystallin/Hsp20 domain; HSP20-like chaperone			; Alpha crystallin/Hsp20 domain; HSP20-like chaperone				; Hsp20/alpha crystallin family			; Heat shock hsp20 proteins family profile.			; HSP20-like chaperones	
V1000596	; GroEL	; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain	; GROEL; GROEL; GroEL	; 60 kDa chaperonin [groL].	; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain			; 60kDa chaperonin signature	; TCP-1/cpn60 chaperonin family		; Chaperonins cpn60 signature.				; GroEL apical domain-like; GroEL equatorial domain-like; GroEL equatorial domain-like	;  chaperonin GroL
V1000487	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase;  fructose-1,6-bisphosphate aldolase, class II
V1600200		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Enzyme I of the PEP; Phosphohistidine domains of PEP-utilising enzymes; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain		; (Full) phosphoenolpyruvate-protein phosphotransferase	; Phosphoenolpyruvate-protein phosphotransferase signature	; PEP-utilising enzyme, N-terminal; PEP-utilising enzyme, TIM barrel domain; PEP-utilising enzyme, mobile domain		; PEP-utilizing enzymes phosphorylation site signature.; PEP-utilizing enzymes signature 2.				; Phosphoenolpyruvate/pyruvate domain; Phosphohistidine domain; Enzyme I of the PEP	;  phosphoenolpyruvate-protein phosphotransferase
V1852092		; ECF transporter S component, folate family; ECF transporter, substrate-specific component			; ECF transporter S component, folate family; ECF transporter, substrate-specific component				; ECF transporter, substrate-specific component							;  ECF transporter S component, folate family
V1358422	; RaiA	; Ribosomal protein S30Ae/sigma 54 modulation protein; Sigma 54 modulation/S30EA ribosomal protein, C-terminal			; Ribosomal protein S30Ae/sigma 54 modulation protein; Sigma 54 modulation/S30EA ribosomal protein, C-terminal				; Sigma 54 modulation protein / S30EA ribosomal protein; Sigma 54 modulation/S30EA ribosomal protein C terminus						; Ribosome binding protein Y (YfiA homologue)	;  ribosomal subunit interface protein
V1136281		; RelB antitoxin/Antitoxin DinJ			; RelB antitoxin/Antitoxin DinJ	; consensus disorder prediction			; RelB antitoxin							
V1565357						; consensus disorder prediction										
V1448274		; Gram-positive LPXTG cell wall anchor; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide			; Gram-positive LPXTG cell wall anchor; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Gram positive anchor; Rib/alpha-like repeat; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family;  Rib/alpha/Esp surface antigen repeat
