Gene	category	Annotation	COGID
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1000546	G	(ABC) transporter	COG2182
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1034630	P	DNA protection during starvation protein	COG0783
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000487	G	Aldolase	COG0191
V1000549	G	hydrolase family 65, central catalytic	COG1554
V1000545	P	permease protein	COG1175
V1093074	G	(ABC) transporter	COG2182
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1358422	J	ribosomal subunit Interface protein	COG1544
V1000886	G	ABC transporter	COG1653
V1000116	G	Pyruvate kinase	COG3848
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1000596	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1481435	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1000548	S	K01838 beta-phosphoglucomutase EC 5.4.2.6	COG0637
V1000640	G	Phosphoglycerate kinase	COG0126
V1195882	G	Aldolase	COG0191
V1886336	G	phosphocarrier protein (HPr	COG1925
V1339929	C	L-lactate dehydrogenase	COG0039
