gene	geneProduct
V1422497	hypothetical protein
V1337358	Thiol-activated cytolysin
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1198675	hypothetical protein
V1013092	Formate acetyltransferase
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1011843	Elongation factor Tu
V1394159	hypothetical protein
V1385524	hypothetical protein
V1037687	Stress protein H5
V1010320	putative FAD-linked oxidoreductase
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1007211	hypothetical protein
V1884213	Pyruvate-flavodoxin oxidoreductase
V1368901	Maltose/maltodextrin-binding protein precursor
V1008596	hypothetical protein
V1015469	Electron transfer flavoprotein large subunit
V1394389	Cyclodextrin-binding protein precursor
V1036256	Maltodextrin-binding protein
V1036425	hypothetical protein
V1145548	30S ribosomal protein S1
V1153964	Acyl-CoA dehydrogenase%2C short-chain specific
V1013090	Fructose-bisphosphate aldolase
V1016060	Malate dehydrogenase
V1265423	hypothetical protein
V1238174	Vegetative protein 300
V1037377	Rubrerythrin
V1036177	Fimbrial subunit type 1 precursor
V1265029	hypothetical protein
V1039802	Benzylsuccinate synthase alpha subunit
V1880355	Fimbrial subunit type 1 precursor
V1230680	hypothetical protein
V1038350	putative 3-hydroxybutyryl-CoA dehydrogenase
V1016999	Elongation factor Tu
V1019516	Phosphoenolpyruvate carboxykinase [ATP]
V1050217	Ferritin
V1006747	protein TolR
V1010034	Flavodoxin
V1884207	Maltose transport system permease protein MalF
V1367500	Outer membrane porin F precursor
V1015150	Vegetative protein 19
V1008255	Vegetative protein 209
V1007873	Glucose-6-phosphate isomerase
V1051020	Outer membrane cobalamin translocator
V1037878	putative enoyl-CoA hydratase echA8
V1053780	hypothetical protein
V1010370	Ferrous iron transport protein B
V1486082	hypothetical protein
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1011840	50S ribosomal protein L1
V1884198	Acetyl-CoA acetyltransferase
V1175702	hypothetical protein
V1015667	hypothetical protein
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1017823	Desulfoferrodoxin
