Gene	KEGG_pathwayID	Annotation
V1337358	map04621	NOD-like receptor signaling pathway
V1067936	map00650	Butanoate metabolism
V1394389	map02030	Bacterial chemotaxis
V1166924	map05152	Tuberculosis
V1036256	map02010	ABC transporters
V1368901	map02030	Bacterial chemotaxis
V1066646	map02030	Bacterial chemotaxis
V1181936	map00650	Butanoate metabolism
V1145548	map03010	Ribosome
V1806808	map00710	Carbon fixation in photosynthetic organisms
V1884207	map02010	ABC transporters
V1036164	map05152	Tuberculosis
V1145082	map04973	Carbohydrate digestion and absorption
V1038361	map04626	Plant-pathogen interaction
V1366835	map03010	Ribosome
V1037518	map03010	Ribosome
V1070888	map04621	NOD-like receptor signaling pathway
V1036259	map00500	Starch and sucrose metabolism
V1484064	map02030	Bacterial chemotaxis
V1103115	map02030	Bacterial chemotaxis
V1081232	map00650	Butanoate metabolism
V1364027	map02010	ABC transporters
V1075948	map04626	Plant-pathogen interaction
V1362785	map02010	ABC transporters
V1337573	map04621	NOD-like receptor signaling pathway
V1038252	map00195	Photosynthesis
V1168094	map03010	Ribosome
V1006055	map04621	NOD-like receptor signaling pathway
V1067114	map00450	Selenocompound metabolism
V1265052	map03018	RNA degradation
V1065438	map05152	Tuberculosis
V1162245	map04910	Insulin signaling pathway
V1157569	map00195	Photosynthesis
V1200593	map02010	ABC transporters
V1313683	map00195	Photosynthesis
V1109394	map04626	Plant-pathogen interaction
V1806795	map05010	Alzheimer's disease
V1068939	map00500	Starch and sucrose metabolism
V1421438	map05010	Alzheimer's disease
V1037422	map00195	Photosynthesis
V1036261	map02010	ABC transporters
V1200931	map03010	Ribosome
V1038267	map00970	Aminoacyl-tRNA biosynthesis
V1367838	map00500	Starch and sucrose metabolism
V1526141	map00970	Aminoacyl-tRNA biosynthesis
V1367285	map00650	Butanoate metabolism
V1345614	map00930	Caprolactam degradation
V1383841	map03010	Ribosome
V1368877	map02030	Bacterial chemotaxis
V1445419	map04930	Type II diabetes mellitus
V1034175	map02030	Bacterial chemotaxis
V1036826	map00720	Carbon fixation pathways in prokaryotes
V1006110	map03010	Ribosome
V1040344	map00650	Butanoate metabolism
V1362787	map03010	Ribosome
V1145315	map03020	RNA polymerase
V1235913	map00195	Photosynthesis
V1037423	map00195	Photosynthesis
V1036988	map00240	Pyrimidine metabolism
V1367869	map02010	ABC transporters
V1006125	map03018	RNA degradation
V1067454	map05152	Tuberculosis
V1557734	map03018	RNA degradation
V1266177	map02010	ABC transporters
V1035957	map02010	ABC transporters
V1162256	map03010	Ribosome
V1445347	map03020	RNA polymerase
V1162252	map03020	RNA polymerase
V1037884	map03010	Ribosome
V1037074	map03018	RNA degradation
V1013092	map00650	Butanoate metabolism
V1067558	map05010	Alzheimer's disease
V1065923	map00195	Photosynthesis
V1554033	map00650	Butanoate metabolism
V1066664	map02040	Flagellar assembly
V1036378	map00240	Pyrimidine metabolism
V1067088	map00710	Carbon fixation in photosynthetic organisms
V1067559	map00710	Carbon fixation in photosynthetic organisms
V1238100	map03018	RNA degradation
V1313175	map03018	RNA degradation
V1036111	map00250	Alanine, aspartate and glutamate metabolism
V1038272	map00970	Aminoacyl-tRNA biosynthesis
V1069093	map00903	Limonene and pinene degradation
V1137087	map01051	Biosynthesis of ansamycins
V1038263	map00061	Fatty acid biosynthesis
V1038271	map00240	Pyrimidine metabolism
V1445352	map00624	Polycyclic aromatic hydrocarbon degradation
V1067061	map00970	Aminoacyl-tRNA biosynthesis
V1527021	map04930	Type II diabetes mellitus
V1341888	map02040	Flagellar assembly
V1728061	map03010	Ribosome
V1158372	map00195	Photosynthesis
V1237403	map00030	Pentose phosphate pathway
V1037687	map05152	Tuberculosis
V1481110	map00473	D-Alanine metabolism
V1035843	map03010	Ribosome
V1067099	map00680	Methane metabolism
V1066648	map03020	RNA polymerase
V1337287	map03010	Ribosome
V1464834	map00650	Butanoate metabolism
V1036481	map00550	Peptidoglycan biosynthesis
V1037678	map04112	Cell cycle - Caulobacter
V1066613	map02060	Phosphotransferase system (PTS)
V1368264	map02010	ABC transporters
V1036227	map02010	ABC transporters
V1181333	map04930	Type II diabetes mellitus
V1553877	map02060	Phosphotransferase system (PTS)
V1066640	map04626	Plant-pathogen interaction
V1036422	map04920	Adipocytokine signaling pathway
V1295099	map04626	Plant-pathogen interaction
V1065536	map04930	Type II diabetes mellitus
V1036839	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
V1037345	map00650	Butanoate metabolism
V1036684	map00780	Biotin metabolism
V1373601	map02040	Flagellar assembly
V1103096	map00900	Terpenoid backbone biosynthesis
V1036611	map00190	Oxidative phosphorylation
V1370810	map03010	Ribosome
V1445140	map00970	Aminoacyl-tRNA biosynthesis
V1040198	map05152	Tuberculosis
V1036282	map00520	Amino sugar and nucleotide sugar metabolism
V1066655	map02040	Flagellar assembly
V1201875	map02030	Bacterial chemotaxis
V1036407	map02010	ABC transporters
V1032135	map05152	Tuberculosis
V1380123	map00195	Photosynthesis
V1482769	map00500	Starch and sucrose metabolism
V1036565	map00230	Purine metabolism
V1318362	map03010	Ribosome
V1172076	map02010	ABC transporters
V1200468	map04141	Protein processing in endoplasmic reticulum
V1067581	map02040	Flagellar assembly
V1265568	map00195	Photosynthesis
V1072900	map03018	RNA degradation
V1354174	map03010	Ribosome
V1065916	map04626	Plant-pathogen interaction
V1445191	map01051	Biosynthesis of ansamycins
V1036186	map02020	Two-component system
V1032070	map04910	Insulin signaling pathway
V1301930	map03010	Ribosome
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1190195	map04626	Plant-pathogen interaction
V1295007	map00970	Aminoacyl-tRNA biosynthesis
V1036171	map03018	RNA degradation
V1190192	map02030	Bacterial chemotaxis
V1066917	map00970	Aminoacyl-tRNA biosynthesis
V1445304	map03020	RNA polymerase
V1364166	map03010	Ribosome
V1464364	map05010	Alzheimer's disease
V1042435	map05010	Alzheimer's disease
V1383824	map02010	ABC transporters
V1018179	map03010	Ribosome
V1036118	map00550	Peptidoglycan biosynthesis
V1501533	map03010	Ribosome
V1513839	map02010	ABC transporters
