Gene	category	Annotation	COGID
V1034630	P	DNA protection during starvation protein	COG0783
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000487	G	Aldolase	COG0191
V1000075	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)	COG0594
V1852092	S	Membrane	11R75
V1836804	J	lysyL-tRNA synthetase	COG1190
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1439186	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)	COG0335
V1553523	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1852039	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1553618	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins	COG0706
V1195882	G	Aldolase	COG0191
V1000886	G	ABC transporter	COG1653
V1073967	J	50s ribosomal protein L10	COG0244
V1000080	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1340131	K	transcriptional regulatory protein	COG0217
V1886336	G	phosphocarrier protein (HPr	COG1925
V1000944	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)	COG0081
V1481435	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1358422	J	ribosomal subunit Interface protein	COG1544
V1880077	J	asparaginyl-tRNA synthetase	COG0017
V1000129	T	gtp-binding protein typa	COG1217
V1000845	G	phosphohexose isomerase	COG0166
V1000305	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1339711	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1392006	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)	COG0335
V1432502	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)	COG0231
V1000549	G	hydrolase family 65, central catalytic	COG1554
V1000836	J	50s ribosomal protein l31 type b	COG0254
V1306539	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1339929	C	L-lactate dehydrogenase	COG0039
V1000546	G	(ABC) transporter	COG2182
V1430882	M	Cell wall-associated hydrolase	COG0791
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1000630	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)	COG0653
V1000570	D	Rod shape-determining protein mreb	COG1077
V1000116	G	Pyruvate kinase	COG3848
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1887021	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1000143	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	COG0264
V1912442	G	Phosphohexokinase	COG0205
V1000627	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1000821	M	Glyco_25	COG3757
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1000527	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1000638	K	regulatoR	COG2390
V1033869	J	Elongation factor Tu GTP binding domain	COG0050
V1000003	J	50S ribosomal protein l17	COG0203
