Gene	category	Annotation	COGID
V1694047	S	NA	0XUM5
V1872766	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1033557	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1338863	G	Pyruvate kinase	COG3848
V1204502	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1150427	G	Aldolase	COG0191
V1033079	G	Phosphohexokinase	COG0205
V1033549	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1034259	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1032670	K	transcriptional regulatory protein	COG0217
V1884596	L	single-stranded DNA-binding protein	COG0629
V1033464	E	glutamine synthetase	COG0174
V1033629	O	Acts as a chaperone (By similarity)	COG0443
V1684120	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1033091	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1204587	D	DivIVA protein	COG3599
V1872734	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1828860	S	Lpxtg-motif cell wall anchor domain protein	0Y34J
V1032210	O	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine (By similarity)	COG0602
V1033097	F	carbamoyl-phosphate synthetase ammonia chain	COG0458
V1033096	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1204335	S	5'-phosphate oxidase	COG3576
V1885172	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)	COG0056
V1032341	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	COG0355
V1032333	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)	COG0522
