gene	geneProduct
V1342924	Putative endo-beta-N-acetylglucosaminidase precursor
V1067936	Formate acetyltransferase
V1066646	Maltose/maltodextrin-binding protein precursor
V1422497	hypothetical protein
V1190199	Putative endo-beta-N-acetylglucosaminidase precursor
V1067937	Pyruvate formate-lyase-activating enzyme
V1200593	Multiple sugar-binding protein precursor
V1066144	Cold shock-like protein
V1066910	Ribonuclease Y
V1235967	flagellar biosynthesis anti-sigma factor FlgM
V1050687	hypothetical protein
V1066925	Oligopeptide-binding protein AppA precursor
V1190195	Phase 1-C flagellin
V1194937	bacteriocin biosynthesis cyclodehydratase%2C SagC family
V1013092	Formate acetyltransferase
V1007844	Formate acetyltransferase 1
V1066664	Flagellar hook-associated protein 1
V1013090	Fructose-bisphosphate aldolase
V1013250	Cold shock protein CspC
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1067114	Thioredoxin reductase
V1066658	flagellar capping protein
V1065506	SigL modulation protein
V1066648	DNA-directed RNA polymerase subunit beta
V1341867	50S ribosomal protein L13
V1068297	Trigger factor
V1386949	hypothetical protein
V1039094	hypothetical protein
V1006927	ATPase involved in DNA repair
V1440258	hypothetical protein
V1235913	ATP synthase subunit alpha
V1065433	putative NADH oxidase
V1065536	Pyruvate kinase
V1067088	Fructose-bisphosphate aldolase
V1011847	Phosphate-binding protein PstS 2 precursor
V1145737	hypothetical protein
V1065454	hypothetical protein
V1066640	Elongation factor Tu
V1067955	30S ribosomal protein S9
V1379917	Elongation factor G
V1445428	hypothetical protein
V1067115	Alkyl hydroperoxide reductase subunit C
V1375517	Outer membrane porin F precursor
V1008595	co-chaperonin GroES
V1436794	Maltose-binding periplasmic proteins/domains
V1393635	Flagellin subunit protein B2
V1067562	DNA protection during starvation protein
V1195053	hypothetical protein
V1190192	hypothetical protein
V1194949	hypothetical protein
V1420994	Flagellin
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1190158	hypothetical protein
V1190145	hypothetical protein
V1066655	hypothetical protein
V1366716	Flagellin
V1201556	DNA-directed RNA polymerase subunit beta'
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1010451	Cyclodextrin-binding protein precursor
V1194952	hypothetical protein
V1069716	Gamma-DL-glutamyl hydrolase precursor
V1067579	Flagellar hook-length control protein FliK
V1012356	hypothetical protein
V1201501	Putative endo-beta-N-acetylglucosaminidase precursor
V1295411	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1047883	RlpA-like protein precursor
V1166828	hypothetical protein
V1066917	Alanine--tRNA ligase
V1375370	Flagellin
V1146847	Putative flagellin YvzB
V1068288	Aldehyde-alcohol dehydrogenase
V1006096	hypothetical protein
V1065539	Ferrous iron transport protein B
V1066656	FlgN protein
V1066641	Vegetative protein 19
V1074835	hypothetical protein
V1067061	Threonine--tRNA ligase 2
V1067559	Phosphoglycerate kinase
V1066936	hypothetical protein
V1065438	Stress protein H5
V1374205	Maltose operon transcriptional repressor
V1167012	hypothetical protein
V1923947	hypothetical protein
V1068964	Cell division protein FtsZ
V1068470	Elongation factor P
V1065484	Stage V sporulation protein G
V1068294	Anaerobic ribonucleoside-triphosphate reductase
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1066613	product=enterobactin exporter EntS
V1065457	hypothetical protein
V1066663	Flagellar hook-associated protein 1
V1380123	Na(+)-translocating ATPase gamma chain
V1065335	Elongation factor Ts
V1012333	Enolase
V1008596	hypothetical protein
V1038810	single-stranded DNA-binding protein
V1067581	Flagellar hook protein FlgE
V1067574	Flagellar M-ring protein
V1367500	Outer membrane porin F precursor
V1145689	hypothetical protein
V1200468	hypothetical protein
V1017150	50S ribosomal protein L17
V1065916	Phase 1-C flagellin
V1065511	Gamma-DL-glutamyl hydrolase precursor
V1066645	Cyclomaltodextrinase
V1070315	Putative endo-beta-N-acetylglucosaminidase precursor
V1301930	50S ribosomal protein L7/L12
V1011843	Elongation factor Tu
V1065580	DNA-directed RNA polymerase subunit alpha
V1616703	hypothetical protein
V1067571	DNA topoisomerase 1
V1203298	Trehalose import ATP-binding protein SugC
V1201698	hypothetical protein
V1066175	hypothetical protein
V1065456	Chemotaxis protein CheV
V1806797	putative ABC transporter ATP-binding protein YheS
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1068111	hypothetical protein
V1373715	ATP-dependent zinc metalloprotease FtsH 4
V1582926	Flagellin
V1010431	50S ribosomal protein L27
V1065317	Flagellar motor switch protein FliN
V1066649	hypothetical protein
V1065542	hypothetical protein
V1067945	hypothetical protein
V1379850	hypothetical protein
V1070409	hypothetical protein
V1066661	Flagellar assembly factor FliW
V1344061	Nickel-binding periplasmic protein precursor
V1065494	DNA-binding protein HU
V1065558	Phosphoenolpyruvate-protein phosphotransferase
V1009516	Enolase
V1201510	50S ribosomal protein L21
V1065388	putative ribosomal protein
V1065576	Adenylate kinase
V1687741	Maltodextrin-binding protein
V1066642	30S ribosomal protein S7
V1067466	preprotein translocase subunit YajC
V1065337	Polymer-forming cytoskeletal
V1065535	Putative serine protease HtrA
V1295007	Valine--tRNA ligase
V1013253	Elongation factor Tu
V1066643	30S ribosomal protein S12
V1229971	hypothetical protein
V1194946	Distal rod protein
V1190263	CTP synthase
V1008589	hypothetical protein
V1423037	Elongation factor Ts
V1240499	Putative endo-beta-N-acetylglucosaminidase precursor
V1154706	hypothetical protein
