Gene	category	Annotation	COGID
V1034630	P	DNA protection during starvation protein	COG0783
V1423289	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1598369	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1852092	S	Membrane	11R75
V1001305	G	Major Facilitator	0XQUK
V1503141	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1001201	G	Aldolase	COG0191
V1000816	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1000781	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1000815	G	Phosphoglycerate kinase	COG0126
V1000962	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1000814	G	Triose-phosphate isomerase	COG0149
V1000961	O	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine (By similarity)	COG0602
V1001481	S	CsbD-like	0XW6H
V1462044	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1001250	G	hydrolase family 65, central catalytic	COG1554
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1001274	E	ornithine carbamoyltransferase	COG0078
V1256203	E	acetolactate synthase	COG0028
V1806762	S	Lysm domain protein	11U6T
V1001011	M	Peptidoglycan binding domain protein	COG3409
V1430708	S	surface protein	11NE4
V1481432	G	Pyruvate kinase	COG3848
V1000956	M	defense response to bacterium	COG1705
V1150709	Q	Multicopper oxidase	COG2132
V1806742	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1806702	J	ribosomal subunit Interface protein	COG1544
V1204532	P	cation-transporting atpase	COG0474
V1001104	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1000969	M	Cell wall-associated hydrolase	COG0791
V1002229	L	Transposase (IS4 family	11HCS
V1365610	C	Dehydrogenase	COG1454
V1598404	K	regulatoR	COG2390
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1000950	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1885950	S	NA	0XXN9
V1890551	S	NA	0XUM5
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1150432	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1806743	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1001016	D	Rod shape-determining protein mreb	COG1077
V1001192	D	modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)	COG4477
V1256223	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1000221	P	pyridine nucleotide-disulfide oxidoreductase	COG0446
V1806712	G	(ABC) transporter	COG2182
V1000277	C	fumarate hydratase class II	COG0114
V1001253	G	trehalose-6-phosphate hydrolase (EC 3.2.1.93)	COG0366
V1000409	T	domain protein	COG3887
V1001230	G	phosphohexose isomerase	COG0166
V1481338	S	Nadph-dependent fmn reductase	COG0431
V1203355	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)	COG0484
V1836875	S	Rib/alpha-like repeat	10008
V1565357	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1204771	M	Cell surface protein	11GRZ
V1000907	G	Phosphohexokinase	COG0205
V1302774	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1257375	J	30S ribosomal protein S1	COG0539
V1581714	J	30S ribosomal protein S21	COG0828
V1000407	L	single-stranded DNA-binding protein	COG0629
V1000596	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1339929	C	L-lactate dehydrogenase	COG0039
V1000276	C	Flavocytochrome c	COG1053
V1000390	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)	COG0201
V1547355	S	NA	11NI8
V1301210	L	Transposase	COG3328
V1001040	M	D-alanyl-lipoteichoic acid biosynthesis protein DltD	COG3966
V1000040	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1000867	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity (By similarity)	COG2176
V1001276	E	Arginine dihydrolase	COG2235
V1000801	G	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)	COG1109
V1047294	M	Cell surface protein	11GRZ
V1000376	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1150476	O	ATP-dependent CLP protease ATP-binding subunit	COG0542
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1836851	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1305188	S	5'-phosphate oxidase	COG3576
V1580955	O	Acts as a chaperone (By similarity)	COG0443
V1164548	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1000433	T	response regulator	COG0745
V1836805	P	E1-E2 ATPase	COG2217
V1000797	P	p-type ATPase	COG2217
V1001437	E	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)	COG0112
V1000734	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1304483	S	cell wall associated fibronectin-binding protein	129KW
V1000405	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0188
V1000922	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)	COG0468
V1001157	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1000925	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)	COG0653
V1000079	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0188
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1836857	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)	COG0060
V1001410	G	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)	COG0574
V1001453	P	DNA protection during starvation protein	COG0783
V1301183	E	ABC transporter	COG0747
V1462039	G	pts system	COG3444
V1000373	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0085
V1000685	E	glutamine synthetase	COG0174
V1000266	C	Citrate lyase beta	COG2301
V1001054	S	basic membrane	COG1744
V1001183	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1000274	P	transporter	COG0471
V1000487	G	Aldolase	COG0191
V1001181	C	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)	COG0711
V1001042	H	Involved in the biosynthesis of D-alanyl-lipoteichoic acid (LTA). Catalyzes an ATP-dependent two-step reaction where it forms a high energy D-alanyl AMP intermediate and transfers the alanyl residues from AMP to Dcp (By similarity)	COG1020
V1150830	S	5'-phosphate oxidase	COG3576
V1000764	S	Methyl-accepting chemotaxis family protein	COG4768
V1001275	E	carbamate kinase	COG0549
V1301206	S	cell wall surface anchor family protein	0YURI
V1000106	F	formyltetrahydrofolate synthetase	COG2759
V1001039	V	Beta-lactamase	COG1680
V1000116	G	Pyruvate kinase	COG3848
V1000860	J	30S ribosomal protein S2	COG0052
V1000640	G	Phosphoglycerate kinase	COG0126
V1000650	M	Sulfatase	COG1368
V1836836	S	Rib/alpha-like repeat	10008
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1852039	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1257540	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1000638	K	regulatoR	COG2390
V1301166	S	NA	0ZTYV
V1358422	J	ribosomal subunit Interface protein	COG1544
V1001186	D	Rod shape-determining protein mreb	COG1077
V1001446	S	Nadph-dependent fmn reductase	COG0431
