Gene	category	Annotation	COGID
V1684119	L	Transposase	COG3328
V1149298	L	transposase (IS4 family) protein	0XQ88
V1872750	L	Transposase	COG3328
V1002229	L	Transposase (IS4 family	11HCS
V1872766	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1684181	S	Transposase	11N3I
V1684088	L	Transposase	COG3328
V1694047	S	NA	0XUM5
V1872749	L	Transposase	COG3328
V1684135	L	Transposase	COG3328
V1808158	L	Inherit from COG: transposase	COG2826
V1204502	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1162988	L	Inherit from COG: transposase	COG2826
V1032664	L	Transposase	COG3666
V1450945	L	Transposase	COG3666
V1033557	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1684144	L	transposase	COG0675
V1755600	L	Transposase	COG3328
V1047171	L	Transposase	COG3666
V1755585	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0187
V1032381	C	Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle (By similarity)	COG2352
V1806613	L	type iii restriction protein res subunit	COG3886
V1150427	G	Aldolase	COG0191
V1032679	L	transcriptioN-repair coupling factor	COG1197
V1033097	F	carbamoyl-phosphate synthetase ammonia chain	COG0458
V1684188	L	Pfam:Transposase_8	COG2963
V1886306	O	ATP-dependent Clp protease ATP-binding subunit	COG0542
V1047260	L	resolvase	COG1961
V1032473	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)	COG0769
V1034270	L	Transposase	1012J
V1047215	E	Aminopeptidase	COG0308
V1162625	L	transposase IS116 IS110 IS902 family protein	COG3547
V1047211	L	SNF2 family	COG0553
