gene	geneProduct
V1013092	Formate acetyltransferase
V1884213	Pyruvate-flavodoxin oxidoreductase
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1008596	hypothetical protein
V1139595	hypothetical protein
V1013090	Fructose-bisphosphate aldolase
V1008595	co-chaperonin GroES
V1238174	Vegetative protein 300
V1037687	Stress protein H5
V1151091	Thiol-activated cytolysin
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1011843	Elongation factor Tu
V1166828	hypothetical protein
V1105083	Outer membrane protein alpha precursor
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1240359	Outer membrane protein alpha precursor
V1039094	hypothetical protein
V1011087	Heat shock protein 70
V1050217	Ferritin
V1167152	hypothetical protein
V1037377	Rubrerythrin
V1015469	Electron transfer flavoprotein large subunit
V1013250	Cold shock protein CspC
V1384350	30S ribosomal protein S7
V1175702	hypothetical protein
V1006685	Chaperone protein ClpB 1
V1144908	Heat shock protein 70-2
V1007076	Maltose-binding periplasmic proteins/domains
V1014080	Elongation factor G
V1015868	50S ribosomal protein L1
V1016891	Helix-destabilizing protein
V1157905	Inner membrane protein YjiY
V1012820	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1074835	hypothetical protein
V1367057	DNA-directed RNA polymerase subunit beta'
V1047883	RlpA-like protein precursor
V1367500	Outer membrane porin F precursor
V1265462	Heat shock protein 70-2
V1010320	putative FAD-linked oxidoreductase
V1015867	50S ribosomal protein L11
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1139691	preprotein translocase subunit SecY
V1011088	Chaperone protein DnaJ
V1012671	V-type sodium pump subunit B
V1687741	Maltodextrin-binding protein
V1052940	hypothetical protein
V1118483	Maltose/maltodextrin-binding protein precursor
V1018397	30S ribosomal protein S1
V1436794	Maltose-binding periplasmic proteins/domains
V1145959	Formate acetyltransferase 1
V1013091	Pyruvate formate-lyase 1-activating enzyme
V1010605	Heat shock protein 70
V1015150	Vegetative protein 19
V1010703	NADH peroxidase
V1200468	hypothetical protein
V1012333	Enolase
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1016890	hypothetical protein
V1015220	30S ribosomal protein S2
V1010069	ATP synthase subunit beta%2C sodium ion specific
V1012852	DNA-directed RNA polymerase subunit alpha
V1394389	Cyclodextrin-binding protein precursor
V1011471	Purine nucleoside receptor A
V1010067	ATP synthase subunit alpha%2C sodium ion specific
V1008890	ATP-dependent Clp protease ATP-binding subunit ClpC
V1394807	Elongation factor Tu
V1011840	50S ribosomal protein L1
V1015866	hypothetical protein
V1358470	Formate acetyltransferase 1
V1006798	High temperature protein G
V1266145	S-adenosylmethionine synthase
V1102145	Elongation factor Ts
V1010716	hypothetical protein
V1008255	Vegetative protein 209
V1375517	Outer membrane porin F precursor
V1009516	Enolase
V1153964	Acyl-CoA dehydrogenase%2C short-chain specific
V1012672	V-type sodium ATPase catalytic subunit A
V1018464	Vegetative protein 209
V1010431	50S ribosomal protein L27
V1012819	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta
V1006746	transport protein TonB
V1237459	hypothetical protein
V1197020	Formate acetyltransferase 1
V1334911	30S ribosomal protein S2
V1265582	Elongation factor Tu
V1015704	Formate acetyltransferase 1
V1011842	hypothetical protein
V1337358	Thiol-activated cytolysin
V1008252	SusD family protein
V1014358	Pyruvate kinase I
V1155393	Vegetative protein 19
V1382261	RlpA-like protein precursor
V1011016	ATP synthase subunit beta
V1008574	Phosphoglycerate kinase
V1011836	DNA-directed RNA polymerase subunit beta'
V1009119	Fructose-bisphosphate aldolase
V1012527	Enolase
V1106664	Formate acetyltransferase 1
V1138974	Heat shock protein 70
V1594514	ATP synthase subunit beta%2C sodium ion specific
V1012925	Phosphate acetyltransferase
V1006634	hypothetical protein
V1012921	hypothetical protein
V1006672	50S ribosomal protein L9
V1819340	product=hypothetical protein
