Gene	KEGG_module_number	Annotation
V1000639	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000642	M00346	Formaldehyde assimilation, serine pathway
V1000534	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1430275	M00164	ATP synthase
V1000116	M00002	Glycolysis, core module involving three-carbon compounds
V1431607	M00178	Ribosome, bacteria
V1000487	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1912442	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1852039	M00183	RNA polymerase, bacteria
V1000943	M00179	Ribosome, archaea
V1000004	M00183	RNA polymerase, bacteria
V1195882	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000836	M00178	Ribosome, bacteria
V1033803	M00164	ATP synthase
V1000546	M00197	Putative fructooligosaccharide transport system
V1836804	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000886	M00207	Putative multiple sugar transport system
V1519450	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000640	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1306539	M00179	Ribosome, archaea
V1000080	M00178	Ribosome, bacteria
V1000305	M00346	Formaldehyde assimilation, serine pathway
V1073967	M00179	Ribosome, archaea
V1464170	M00164	ATP synthase
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1886558	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000545	M00197	Putative fructooligosaccharide transport system
V1886416	M00002	Glycolysis, core module involving three-carbon compounds
V1000001	M00179	Ribosome, archaea
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1164548	M00183	RNA polymerase, bacteria
V1000040	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1381099	M00164	ATP synthase
V1889488	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000944	M00179	Ribosome, archaea
V1000841	M00164	ATP synthase
V1000845	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1576144	M00335	Sec (secretion) system
V1036606	M00164	ATP synthase
V1000023	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1000630	M00335	Sec (secretion) system
V1573648	M00178	Ribosome, bacteria
V1043485	M00179	Ribosome, archaea
V1144304	M00179	Ribosome, archaea
V1553618	M00335	Sec (secretion) system
V1000123	M00179	Ribosome, archaea
V1006020	M00179	Ribosome, archaea
V1203576	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1880077	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1211229	M00164	ATP synthase
V1491714	M00178	Ribosome, bacteria
V1439186	M00178	Ribosome, bacteria
V1006727	M00178	Ribosome, bacteria
V1592992	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1852094	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1448519	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1448327	M00164	ATP synthase
V1000171	M00239	Peptides/nickel transport system
V1093074	M00197	Putative fructooligosaccharide transport system
V1000842	M00164	ATP synthase
V1597389	M00179	Ribosome, archaea
V1000641	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1000840	M00164	ATP synthase
V1143984	M00346	Formaldehyde assimilation, serine pathway
V1157115	M00346	Formaldehyde assimilation, serine pathway
V1000003	M00178	Ribosome, bacteria
V1136163	M00179	Ribosome, archaea
V1000018	M00179	Ribosome, archaea
V1364877	M00164	ATP synthase
V1392051	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1000017	M00178	Ribosome, bacteria
V1886387	M00183	RNA polymerase, bacteria
V1000151	M00178	Ribosome, bacteria
V1000563	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1000057	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1481366	M00178	Ribosome, bacteria
V1211201	M00335	Sec (secretion) system
V1000021	M00179	Ribosome, archaea
V1213705	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1136388	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1360328	M00178	Ribosome, bacteria
V1000882	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1211334	M00346	Formaldehyde assimilation, serine pathway
V1203570	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1851978	M00207	Putative multiple sugar transport system
V1392006	M00178	Ribosome, bacteria
V1580709	M00178	Ribosome, bacteria
V1136121	M00178	Ribosome, bacteria
V1886547	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1064534	M00183	RNA polymerase, bacteria
V1000106	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1000326	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1000547	M00197	Putative fructooligosaccharide transport system
V1000124	M00178	Ribosome, bacteria
V1594229	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
V1000533	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1581807	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1000594	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1000172	M00239	Peptides/nickel transport system
V1879918	M00179	Ribosome, archaea
V1608313	M00002	Glycolysis, core module involving three-carbon compounds
V1136573	M00179	Ribosome, archaea
V1552729	M00179	Ribosome, archaea
V1000077	M00260	DNA polymerase III complex, bacteria
V1164541	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1144133	M00197	Putative fructooligosaccharide transport system
V1213484	M00197	Putative fructooligosaccharide transport system
V1431657	M00179	Ribosome, archaea
V1000601	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1852084	M00179	Ribosome, archaea
V1156179	M00178	Ribosome, bacteria
V1520185	M00164	ATP synthase
