Gene	category	Annotation	COGID
V1423289	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1034630	P	DNA protection during starvation protein	COG0783
V1483404	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1882989	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1503164	S	surface protein	11NE4
V1390179	S	Pfam:TraG	11F36
V1503141	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1164548	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1565357	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1000079	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0188
V1035134	E	Peptidase family M23	11ZGW
V1464532	L	Dna topoisomerase	COG0550
V1001468	J	Leucyl-tRNA synthetase	COG0495
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1046739	V	methylase	COG1002
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1836804	J	lysyL-tRNA synthetase	COG1190
V1204231	M	Cell surface-associated protein implicated in virulence by promoting bacterial attachment to both alpha- and beta-chains of human fibrinogen and inducing the formation of bacterial clumps	1215X
V1445551	S	Rib/alpha-like repeat	0YK85
V1000301	K, T	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)	COG0317
V1034906	M	Inherit from NOG: Cell Wall	1248X
V1851965	S	domain protein	COG1511
V1298012	V	Type I Restriction	COG0610
V1136952	L	DNA methylase	COG2189
V1064200	C	Glycerol-3-phosphate dehydrogenase	COG0578
V1162285	S	domain protein	0YF83
V1046766	S	Rib/alpha-like repeat	10008
V1465413	D	cell division protein FtsK	COG1674
V1000074	D	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)	COG0445
V1000502	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)	COG0516
V1000634	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)	COG0178
V1204223	S	NA	101UU
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1150418	S	phage terminase large subunit	0XSCY
V1552718	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)	COG0249
V1000627	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1522031	E	Acetylornithine deacetylase	COG0624
V1000500	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)	COG0272
V1000040	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1000527	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1162881	G	Phosphoglucomutase phosphomannomutase alpha beta alpha domain	COG1109
V1592983	S	Rib/alpha-like repeat	10008
V1458257	V	Type II restriction modification enzyme methyltransferase	COG0286
V1000129	T	gtp-binding protein typa	COG1217
V1852053	G	Major Facilitator	COG0477
V1420563	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0187
V1420585	E	Oligoendopeptidase f	COG1164
V1000638	K	regulatoR	COG2390
V1594651	E	Cleaves the N-terminal amino acid of tripeptides (By similarity)	COG2195
V1295196	D	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)	COG0849
V1000090	S	Xanthine uracil vitamin C permease	COG2252
V1464441	J	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)	COG0525
