gene	geneProduct
V1039094	hypothetical protein
V1342924	Putative endo-beta-N-acetylglucosaminidase precursor
V1067936	Formate acetyltransferase
V1006927	ATPase involved in DNA repair
V1007844	Formate acetyltransferase 1
V1066646	Maltose/maltodextrin-binding protein precursor
V1067937	Pyruvate formate-lyase-activating enzyme
V1190199	Putative endo-beta-N-acetylglucosaminidase precursor
V1010451	Cyclodextrin-binding protein precursor
V1110058	30S ribosomal protein S2
V1200593	Multiple sugar-binding protein precursor
V1422497	hypothetical protein
V1011530	DNA-directed RNA polymerase subunit alpha
V1105638	Trigger factor
V1014561	Translation initiation factor IF-1
V1121000	Elongation factor G
V1013092	Formate acetyltransferase
V1344061	Nickel-binding periplasmic protein precursor
V1200931	50S ribosomal protein L16
V1235967	flagellar biosynthesis anti-sigma factor FlgM
V1013090	Fructose-bisphosphate aldolase
V1583622	Translation initiation factor IF-3
V1190195	Phase 1-C flagellin
V1066910	Ribonuclease Y
V1015187	F-ATPase gamma subunit
V1018179	50S ribosomal protein L3
V1506464	Elongation factor Tu
V1067558	Glyceraldehyde-3-phosphate dehydrogenase
V1066658	flagellar capping protein
V1066144	Cold shock-like protein
V1015188	ATP synthase subunit beta
V1008385	Pyruvate kinase
V1114426	hypothetical protein
V1065539	Ferrous iron transport protein B
V1602908	transcriptional regulator ICP4
V1393635	Flagellin subunit protein B2
V1612079	Translation initiation factor IF-2
V1007951	Elongation factor Ts
V1066648	DNA-directed RNA polymerase subunit beta
V1171010	50S ribosomal protein L9
V1239784	50S ribosomal protein L7/L12
V1603001	repeat
V1687090	preprotein translocase subunit SecY
V1050687	hypothetical protein
V1200297	50S ribosomal protein L10
V1181936	Formate acetyltransferase
V1067114	Thioredoxin reductase
V1375517	Outer membrane porin F precursor
V1006096	hypothetical protein
V1235913	ATP synthase subunit alpha
V1806808	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1069376	C protein alpha-antigen precursor
V1420994	Flagellin
V1462237	50S ribosomal protein L2
V1067088	Fructose-bisphosphate aldolase
V1806797	putative ABC transporter ATP-binding protein YheS
V1736881	hypothetical protein
V1009346	protoporphyrinogen oxidase
V1366716	Flagellin
V1109176	ATP synthase subunit alpha
V1167012	hypothetical protein
V1066664	Flagellar hook-associated protein 1
V1038361	Elongation factor Tu
V1038810	single-stranded DNA-binding protein
V1103554	Glyceraldehyde-3-phosphate dehydrogenase
V1008596	hypothetical protein
V1375370	Flagellin
V1341867	50S ribosomal protein L13
V1151424	Alkyl hydroperoxide reductase subunit C
V1265423	hypothetical protein
V1065923	ATP synthase subunit beta%2C sodium ion specific
V1068297	Trigger factor
V1066640	Elongation factor Tu
V1139467	30S ribosomal protein S18 1
V1146847	Putative flagellin YvzB
V1335458	hypothetical protein
V1067559	Phosphoglycerate kinase
V1065536	Pyruvate kinase
V1501661	30S ribosomal protein S16
V1066641	Vegetative protein 19
V1355408	C protein alpha-antigen precursor
V1065916	Phase 1-C flagellin
V1067955	30S ribosomal protein S9
V1200084	Heat shock protein 70
V1367500	Outer membrane porin F precursor
V1687755	30S ribosomal protein S10
V1066925	Oligopeptide-binding protein AppA precursor
V1105002	30S ribosomal protein S16
V1067061	Threonine--tRNA ligase 2
V1067581	Flagellar hook protein FlgE
V1421921	30S ribosomal protein S5
V1066613	product=enterobactin exporter EntS
V1007441	preprotein translocase subunit SecA
V1066917	Alanine--tRNA ligase
V1008216	Stress protein H5
V1171477	hypothetical protein
V1065433	putative NADH oxidase
V1103275	Pyridoxamine 5'-phosphate oxidase
V1440258	hypothetical protein
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1194937	bacteriocin biosynthesis cyclodehydratase%2C SagC family
V1011271	putative transcriptional regulatory protein/MSMEI_2866
V1362785	maltose ABC transporter periplasmic protein
V1420901	50S ribosomal protein L15
V1268246	cell division protein MraZ
V1445428	hypothetical protein
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1013898	co-chaperonin GroES
V1270765	30S ribosomal protein S6
V1201556	DNA-directed RNA polymerase subunit beta'
V1066655	hypothetical protein
V1015186	F-type ATPase subunit delta
V1380123	Na(+)-translocating ATPase gamma chain
V1012333	Enolase
V1011843	Elongation factor Tu
V1201501	Putative endo-beta-N-acetylglucosaminidase precursor
V1594277	C protein alpha-antigen precursor
V1115775	Phosphoenolpyruvate carboxylase
V1420695	hypothetical protein
V1011847	Phosphate-binding protein PstS 2 precursor
V1067579	Flagellar hook-length control protein FliK
V1482700	preprotein translocase subunit SecA
V1010320	putative FAD-linked oxidoreductase
V1736985	Maltodextrin phosphorylase
V1582926	Flagellin
V1143274	gram-positive signal peptide%2C YSIRK family
V1074835	hypothetical protein
V1103115	Cyclodextrin-binding protein precursor
V1010450	Maltose transport system permease protein MalF
V1068294	Anaerobic ribonucleoside-triphosphate reductase
V1065438	Stress protein H5
V1008226	DNA-binding protein HB1
V1421267	50S ribosomal protein L11
V1190145	hypothetical protein
V1066663	Flagellar hook-associated protein 1
V1065454	hypothetical protein
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1881259	Phenylalanine--tRNA ligase beta subunit
V1068288	Aldehyde-alcohol dehydrogenase
V1007469	DNA gyrase subunit B
V1190158	hypothetical protein
V1011533	hypothetical protein
V1067115	Alkyl hydroperoxide reductase subunit C
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1136989	hypothetical protein
V1386949	hypothetical protein
V1065580	DNA-directed RNA polymerase subunit alpha
V1007426	Putative aliphatic sulfonates-binding protein precursor
V1295411	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
V1008595	co-chaperonin GroES
V1013250	Cold shock protein CspC
V1194949	hypothetical protein
V1194952	hypothetical protein
V1104138	Valine--tRNA ligase
V1506332	Fimbrial subunit type 1 precursor
V1136925	Uridylate kinase
V1103125	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK%2C cyclin H subunit
V1012356	hypothetical protein
V1465337	Maltose-binding periplasmic proteins/domains
V1067571	DNA topoisomerase 1
V1103121	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
V1379917	Elongation factor G
V1016072	DNA replication initiation protein gpA
V1190192	hypothetical protein
V1265314	Elongation factor Tu
V1505538	Trehalose import ATP-binding protein SugC
V1009361	FK506-binding protein
V1151626	hypothetical protein
V1168094	50S ribosomal protein L6
V1115738	Ribonucleoside-diphosphate reductase subunit alpha 2
V1464364	Glyceraldehyde-3-phosphate dehydrogenase
V1137151	hypothetical protein
V1137315	Maltose-binding periplasmic proteins/domains
V1069716	Gamma-DL-glutamyl hydrolase precursor
V1066642	30S ribosomal protein S7
V1006879	Anaerobic ribonucleoside-triphosphate reductase
V1006933	DNA-directed RNA polymerase subunit beta'
V1594748	hypothetical protein
V1068964	Cell division protein FtsZ
V1047883	RlpA-like protein precursor
V1066645	Cyclomaltodextrinase
V1583169	Fimbrial subunit type 1 precursor
V1007479	sortase
V1195053	hypothetical protein
V1006063	50S ribosomal protein L13
V1070315	Putative endo-beta-N-acetylglucosaminidase precursor
V1295007	Valine--tRNA ligase
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1105876	hypothetical protein
V1007477	Penicillin-binding protein A
V1000122	Elongation factor Tu
V1175702	hypothetical protein
V1008637	Recombinase A
V1007968	Aspartate--tRNA ligase
V1574841	hypothetical protein
V1065517	Distal rod protein
V1007470	DNA gyrase subunit A
V1436794	Maltose-binding periplasmic proteins/domains
V1229971	hypothetical protein
V1065506	SigL modulation protein
V1065335	Elongation factor Ts
V1203298	Trehalose import ATP-binding protein SugC
V1157905	Inner membrane protein YjiY
V1464571	Elongation factor Tu-B
V1069093	Putative aldehyde dehydrogenase AldA
V1008714	1%2C4-alpha-glucan branching enzyme GlgB
V1881293	Lysine--tRNA ligase
V1355409	Dephospho-CoA kinase
V1103500	Putative HMP/thiamine permease protein YkoE
V1007473	Glycogen accumulation regulator GarA
V1421911	hypothetical protein
V1266177	Nickel-binding periplasmic protein precursor
V1007845	Pyruvate formate-lyase 1-activating enzyme
V1007970	hypothetical protein
V1016074	capsid protein
V1194946	Distal rod protein
V1007480	hypothetical protein
V1386220	Glutamine synthetase
V1065938	Helix-destabilizing protein
V1201506	Putative flagellin YvzB
V1200513	Rod shape-determining protein MreB
V1065558	Phosphoenolpyruvate-protein phosphotransferase
V1240499	Putative endo-beta-N-acetylglucosaminidase precursor
V1013253	Elongation factor Tu
V1373715	ATP-dependent zinc metalloprotease FtsH 4
V1068111	hypothetical protein
V1065317	Flagellar motor switch protein FliN
V1188019	30S ribosomal protein S1
V1036256	Maltodextrin-binding protein
V1103060	drug resistance MFS transporter%2C drug:H+ antiporter-2 (14 Spanner) (DHA2) family
V1752456	putative ABC transporter ATP-binding protein YheS
V1137087	Transketolase
V1574615	Fimbrial subunit type 1 precursor
V1201698	hypothetical protein
V1301930	50S ribosomal protein L7/L12
V1039802	Benzylsuccinate synthase alpha subunit
V1585494	hypothetical protein
V1036477	DNA-directed RNA polymerase subunit alpha
V1065535	Putative serine protease HtrA
V1362379	hypothetical protein
V1007076	Maltose-binding periplasmic proteins/domains
V1145548	30S ribosomal protein S1
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1203459	30S ribosomal protein S6
V1006885	hypothetical protein
V1051284	Phosphocarrier protein HPr
V1104137	Inorganic pyrophosphatase
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1115937	Carbamoyl-phosphate synthase large chain
V1819269	50S ribosomal protein L2
V1007952	Ribosome-releasing factor
V1393615	hypothetical protein
V1066643	30S ribosomal protein S12
V1431607	50S ribosomal protein L21
V1194354	30S ribosomal protein S12
V1616703	hypothetical protein
V1136947	Stage 0 sporulation protein KB
V1066656	FlgN protein
V1088385	hypothetical protein
V1103096	hypothetical protein
V1065542	hypothetical protein
V1067063	D-lactate dehydrogenase
V1379850	hypothetical protein
V1020434	Fructose-bisphosphate aldolase
V1012379	Flavodoxin
V1065313	Chemotaxis protein PomA
V1067560	Triosephosphate isomerase
V1037687	Stress protein H5
V1065939	30S ribosomal protein S6
V1020162	50S ribosomal protein L29
V1268374	DivIVA domain protein
V1007943	Polyphosphate glucokinase
V1010393	Enolase
V1106547	Ferrous iron uptake protein
V1200468	hypothetical protein
V1687049	Phosphomethylpyrimidine synthase
V1067111	Macrolide export ATP-binding/permease protein MacB
V1374204	Maltose phosphorylase
V1068470	Elongation factor P
V1100783	hypothetical protein
V1014560	Adenylate kinase
V1007432	Phenylalanine--tRNA ligase alpha subunit
V1622222	30S ribosomal protein S20
V1355600	30S ribosomal protein S13
V1058847	Transposase DDE domain protein
V1201618	Formate acetyltransferase
V1011850	Aminopeptidase C
V1067574	Flagellar M-ring protein
V1008409	Methionine--tRNA ligase
V1007465	Chromosomal replication initiator protein DnaA
V1394418	Tyrosine phosphorylated protein A
V1420737	hypothetical protein
V1006934	DNA-directed RNA polymerase subunit beta
V1014559	50S ribosomal protein L14
V1423037	Elongation factor Ts
V1104488	hypothetical protein
V1199729	putative ATP-dependent Clp protease ATP-binding subunit
V1268575	30S ribosomal protein S5
V1547561	Putative transcriptional regulator YvhJ
V1565608	F-type ATPase subunit b
V1065515	preprotein translocase subunit SecA
V1273194	Phase 1-I flagellin
V1016073	minor spike protein
V1105320	hypothetical protein
V1102799	Oligopeptide-binding protein AmiA precursor
V1065511	Gamma-DL-glutamyl hydrolase precursor
V1364027	maltose ABC transporter periplasmic protein
V1562660	hypothetical protein
V1603901	hypothetical protein
V1065347	Translation initiation factor IF-3
V1166828	hypothetical protein
V1555046	Translation initiation factor IF-1
V1136920	Serine--tRNA ligase
V1171281	Polyribonucleotide nucleotidyltransferase
V1066649	hypothetical protein
V1067037	Alcohol dehydrogenase 1
V1074576	Pyruvate kinase
V1007476	Cell division protein FtsW
V1016291	pyridoxamine 5'-phosphate oxidase%2C FMN-binding family
V1036333	Stage 0 sporulation protein KA
V1066614	EIIAB-Man
V1440477	hypothetical protein
V1007475	PP2C-family Ser/Thr phosphatase
V1923947	hypothetical protein
V1190263	CTP synthase
V1239646	hypothetical protein
V1036735	DNA-directed RNA polymerase subunit beta'
V1105335	Ribonuclease Y
V1268448	30S ribosomal protein S15
V1389977	heat shock chaperone IbpB
V1013966	Pyridoxamine 5'-phosphate oxidase
V1067921	Asparagine--tRNA ligase
V1596508	50S ribosomal protein L21
V1066927	Pyruvate%2C phosphate dikinase
V1066936	hypothetical protein
V1035994	Formate acetyltransferase
V1170794	ATP-dependent zinc metalloprotease FtsH
V1065576	Adenylate kinase
V1070409	hypothetical protein
V1386354	Distal rod protein
V1464130	Filamentous hemagglutinin
V1067454	Heat shock protein 70
V1070848	putative NADH oxidase
V1162256	30S ribosomal protein S4
V1137002	hypothetical protein
V1010034	Flavodoxin
V1200248	Collagen triple helix repeat (20 copies)
V1139748	Glycine reductase complex component B subunit gamma
V1105537	Oligopeptide transport system permease protein OppC
V1008940	Bicarbonate transport ATP-binding protein CmpD
V1065456	Chemotaxis protein CheV
V1067905	Acetate kinase
V1239069	Helix-destabilizing protein
V1411056	30S ribosomal protein S11
V1230019	hypothetical protein
V1067576	putative ATP synthase YscN
V1103479	Tromp-1
V1015469	Electron transfer flavoprotein large subunit
V1065363	Chemotaxis protein methyltransferase
V1065337	Polymer-forming cytoskeletal
V1099916	F-ATPase subunit 6
V1013899	Putative phenylalanine aminotransferase
V1065579	30S ribosomal protein S4
V1105538	Glutathione import ATP-binding protein GsiA
V1334709	hypothetical protein
V1007420	Ribosome-binding ATPase YchF
V1009707	putative NADH oxidase
V1334911	30S ribosomal protein S2
V1386621	DegV domain-containing protein
V1015220	30S ribosomal protein S2
V1009516	Enolase
V1067466	preprotein translocase subunit YajC
V1017150	50S ribosomal protein L17
V1514797	Glycine reductase complex component B subunits alpha and beta
V1036337	hypothetical protein
V1728061	30S ribosomal protein S2
V1031976	Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
V1065353	Translation initiation factor IF-2
V1067072	Lysine--tRNA ligase
V1102828	Autolytic lysozyme
V1065316	Flagellar motor switch protein FliM
V1194993	Putative endo-beta-N-acetylglucosaminidase precursor
V1011162	Glutaredoxin-like protein NrdH
V1172385	TM2 domain protein
V1066662	Hook-filament junction protein
V1153964	Acyl-CoA dehydrogenase%2C short-chain specific
V1065326	Chemotaxis protein CheA
V1066138	FeS cluster assembly protein SufB
V1065374	dihydroxyacetone kinase
V1617969	30S ribosomal protein S16
V1383841	50S ribosomal protein L10
V1344990	hypothetical protein
V1065924	F-type ATPase subunit delta
V1502072	50S ribosomal protein L13
V1065349	50S ribosomal protein L20
V1018180	50S ribosomal protein L23
V1065922	F-ATPase epsilon subunit
V1065538	Ferrous iron transport protein A
V1357591	Nickel uptake substrate-specific transmembrane region
V1017113	DNA-binding protein HRm
V1464834	Formate acetyltransferase
V1067562	DNA protection during starvation protein
V1066652	50S ribosomal protein L11
V1516610	Alkyl hydroperoxide reductase subunit C
V1105021	Vegetative protein 19
V1007464	ribonuclease P
V1547630	Filamentous hemagglutinin
V1037377	Rubrerythrin
V1464212	hypothetical protein
V1171217	Cyclodextrin-binding protein precursor
V1374205	Maltose operon transcriptional repressor
V1065358	Polyribonucleotide nucleotidyltransferase
V1014111	Pathogen-specific membrane antigen
V1268298	chromosome segregation protein SMC
V1295076	Pyruvate%2C phosphate dikinase
V1151179	hypothetical protein
V1066659	flagellar protein FlaG
V1065457	hypothetical protein
V1067945	hypothetical protein
V1593442	putative ATP-dependent Clp protease ATP-binding subunit
V1023238	30S ribosomal protein S7
V1006882	hypothetical protein
V1111738	co-chaperonin GroES
V1884213	Pyruvate-flavodoxin oxidoreductase
V1723757	50S ribosomal protein L21
V1201875	Methyl-accepting chemotaxis protein McpC
V1019613	Glyceraldehyde-3-phosphate dehydrogenase
V1562682	Carbon starvation protein A
V1103655	Acetate kinase
V1008589	hypothetical protein
V1201510	50S ribosomal protein L21
V1008217	hypothetical protein
V1032287	hypothetical protein
V1196189	hypothetical protein
V1736952	Pullulanase precursor
V1145689	hypothetical protein
V1014080	Elongation factor G
V1065325	Chemotaxis response regulator protein-glutamate methylesterase
V1067578	hypothetical protein
V1430066	hypothetical protein
V1011087	Heat shock protein 70
V1183570	F-type ATPase subunit b
V1009331	DNA-directed RNA polymerase subunit omega
V1016241	Vegetative protein 19
V1000129	Tyrosine phosphorylated protein A
V1145959	Formate acetyltransferase 1
V1008712	Tromp-1
V1736896	Pullulanase precursor
V1065336	Bifunctional xylanase/deacetylase precursor
V1100440	30S ribosomal protein S13
V1008424	Curved DNA-binding protein
V1035952	Trehalose import ATP-binding protein SugC
V1290770	adaptor protein
V1066653	hypothetical protein
V1017600	30S ribosomal protein S2
V1736972	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
V1065388	putative ribosomal protein
